id,name,board,Diop Harris II,Sean McCann,registered,ballots,over_votes,under_votes,total,turnout,Write-in
50126000001,"City of Allegan, Precinct 1",,254,308,4225,1027,0,0,562,24.31,2
52274000001,"City of the Village of Douglas, Precinct 1",,84,430,1421,676,0,0,514,47.57,2
52774000001,"City of Fennville, Precinct 1",,58,60,1172,205,0,0,118,17.49,2
56162000001,"City of Otsego, Precinct 1",,149,344,3262,926,0,0,493,28.39,1
56474000001,"City of Plainwell, Precinct 1",,188,316,2900,864,0,0,504,29.79,0
57170000001,"City of Saugatuck, Precinct 1",,46,228,827,411,0,0,274,49.7,0
58488000001,"City of Wayland, Precinct 1",,160,263,3624,848,0,0,423,23.4,2
50128000001,"Allegan Township, Precinct 1",,139,417,4204,1304,0,0,556,31.02,8
51370000001,"Casco Township, Precinct 1",,149,313,2696,962,0,0,462,35.68,1
51520000001,"Cheshire Township, Precinct 1",,40,125,1934,588,0,0,165,30.4,2
51672000001,"Clyde Township, Precinct 1",,70,117,1693,386,0,0,187,22.8,1
52268000001,"Dorr Township, Precinct 1",,48,122,1772,674,0,0,170,38.04,3
52268000002,"Dorr Township, Precinct 2",,83,157,2584,829,0,0,240,32.08,0
52268000003,"Dorr Township, Precinct 3",,69,133,2034,611,0,0,202,30.04,0
52812000001,"Fillmore Township, Precinct 1",,79,141,2548,940,0,0,220,36.89,2
53136000001,"Ganges Township, Precinct 1",,97,367,2361,862,0,0,464,36.51,2
53572000001,"Gun Plain Township, Precinct 1",,235,630,5229,1699,0,0,865,32.49,5
53746000001,"Heath Township, Precinct 1",,75,170,2852,922,0,0,245,32.33,3
53746000002,"Heath Township, Precinct 2",,15,39,544,179,0,0,54,32.9,0
53920000001,"Hopkins Township, Precinct 1",,55,148,2151,745,0,0,203,34.64,4
54518000001,"Laketown Township, Precinct 1",,136,302,1927,890,0,0,438,46.19,2
54518000002,"Laketown Township, Precinct 2",,100,277,2641,1164,0,0,377,44.07,0
54518000003,"Laketown Township, Precinct 3",,73,141,980,412,0,0,214,42.04,2
54660000001,"Lee Township, Precinct 1",,62,145,3045,446,0,0,207,14.65,5
54676000001,"Leighton Township, Precinct 1",,35,71,1925,465,0,0,106,24.16,1
54676000002,"Leighton Township, Precinct 2",,93,134,2186,671,0,0,227,30.7,5
54676000003,"Leighton Township, Precinct 3",,50,105,1809,555,0,0,155,30.68,3
55084000001,"Manlius Township, Precinct 1",,80,233,2866,920,0,0,313,32.1,1
55200000001,"Martin Township, Precinct 1",,48,127,2252,603,0,0,175,26.78,0
55520000001,"Monterey Township, Precinct 1",,45,110,2078,609,0,0,155,29.31,1
56164000001,"Otsego Township, Precinct 1",,135,234,2520,932,0,0,369,36.98,5
56164000002,"Otsego Township, Precinct 2",,93,234,2582,706,0,0,327,27.34,3
56182000001,"Overisel Township, Precinct 1",,56,78,2518,922,0,0,134,36.62,0
57110000001,"Salem Township, Precinct 1",,38,105,2154,650,0,0,143,30.18,0
57110000002,"Salem Township, Precinct 2",,53,144,2213,722,0,0,197,32.63,1
57172000001,"Saugatuck Township, Precinct 1",,189,824,3343,1564,0,0,1013,46.78,1
58062000001,"Trowbridge Township, Precinct 1",,72,169,2287,640,0,0,241,27.98,3
58158000001,"Valley Township, Precinct 1",,58,148,2020,568,0,0,206,28.12,0
58458000001,"Watson Township, Precinct 1",,29,62,1949,342,0,0,91,17.55,2
58490000001,"Wayland Township, Precinct 1",,69,235,3090,947,0,0,304,30.65,3
1597498003002,"South Haven City, Ward 3, Precinct 2",,1,4,10,6,0,0,5,60.0,0
53864004007,"Holland City, Ward 4, Precinct 7",,82,192,1662,610,0,0,274,36.7,0
53864005008,"Holland City, Ward 5, Precinct 8",,83,185,1737,627,0,0,268,36.1,0
53864005009,"Holland City, Ward 5, Precinct 9",,179,236,3051,871,0,0,415,28.55,0
