id,name,board,Mike Rogers,registered,ballots,over_votes,under_votes,total,turnout,Write-in
50126000001,"City of Allegan, Precinct 1",,342,4225,1027,0,0,342,24.31,4
52274000001,"City of the Village of Douglas, Precinct 1",,113,1421,676,0,0,113,47.57,0
52774000001,"City of Fennville, Precinct 1",,75,1172,205,0,0,75,17.49,0
56162000001,"City of Otsego, Precinct 1",,344,3262,926,0,0,344,28.39,6
56474000001,"City of Plainwell, Precinct 1",,269,2900,864,0,0,269,29.79,0
57170000001,"City of Saugatuck, Precinct 1",,96,827,411,0,0,96,49.7,2
58488000001,"City of Wayland, Precinct 1",,353,3624,848,0,0,353,23.4,1
50128000001,"Allegan Township, Precinct 1",,624,4204,1304,0,0,624,31.02,1
51370000001,"Casco Township, Precinct 1",,414,2696,962,0,0,414,35.68,1
51520000001,"Cheshire Township, Precinct 1",,337,1934,588,0,0,337,30.4,4
51672000001,"Clyde Township, Precinct 1",,176,1693,386,0,0,176,22.8,1
52268000001,"Dorr Township, Precinct 1",,419,1772,674,0,0,419,38.04,2
52268000002,"Dorr Township, Precinct 2",,510,2584,829,0,0,510,32.08,5
52268000003,"Dorr Township, Precinct 3",,346,2034,611,0,0,346,30.04,1
52812000001,"Fillmore Township, Precinct 1",,667,2548,940,0,0,667,36.89,2
53136000001,"Ganges Township, Precinct 1",,332,2361,862,0,0,332,36.51,3
53572000001,"Gun Plain Township, Precinct 1",,671,5229,1699,0,0,671,32.49,1
53746000001,"Heath Township, Precinct 1",,608,2852,922,0,0,608,32.33,0
53746000002,"Heath Township, Precinct 2",,107,544,179,0,0,107,32.9,0
53920000001,"Hopkins Township, Precinct 1",,461,2151,745,0,0,461,34.64,1
54518000001,"Laketown Township, Precinct 1",,362,1927,890,0,0,362,46.19,1
54518000002,"Laketown Township, Precinct 2",,668,2641,1164,0,0,668,44.07,1
54518000003,"Laketown Township, Precinct 3",,168,980,412,0,0,168,42.04,1
54660000001,"Lee Township, Precinct 1",,202,3045,446,0,0,202,14.65,0
54676000001,"Leighton Township, Precinct 1",,319,1925,465,0,0,319,24.16,2
54676000002,"Leighton Township, Precinct 2",,376,2186,671,0,0,376,30.7,3
54676000003,"Leighton Township, Precinct 3",,354,1809,555,0,0,354,30.68,1
55084000001,"Manlius Township, Precinct 1",,535,2866,920,0,0,535,32.1,2
55200000001,"Martin Township, Precinct 1",,360,2252,603,0,0,360,26.78,2
55520000001,"Monterey Township, Precinct 1",,402,2078,609,0,0,402,29.31,0
56164000001,"Otsego Township, Precinct 1",,415,2520,932,0,0,415,36.98,2
56164000002,"Otsego Township, Precinct 2",,302,2582,706,0,0,302,27.34,1
56182000001,"Overisel Township, Precinct 1",,709,2518,922,0,0,709,36.62,0
57110000001,"Salem Township, Precinct 1",,465,2154,650,0,0,465,30.18,1
57110000002,"Salem Township, Precinct 2",,460,2213,722,0,0,460,32.63,1
57172000001,"Saugatuck Township, Precinct 1",,417,3343,1564,0,0,417,46.78,0
58062000001,"Trowbridge Township, Precinct 1",,327,2287,640,0,0,327,27.98,2
58158000001,"Valley Township, Precinct 1",,315,2020,568,0,0,315,28.12,4
58458000001,"Watson Township, Precinct 1",,222,1949,342,0,0,222,17.55,0
58490000001,"Wayland Township, Precinct 1",,544,3090,947,0,0,544,30.65,2
1597498003002,"South Haven City, Ward 3, Precinct 2",,1,10,6,0,0,1,60.0,0
53864004007,"Holland City, Ward 4, Precinct 7",,256,1662,610,0,0,256,36.7,0
53864005008,"Holland City, Ward 5, Precinct 8",,283,1737,627,0,0,283,36.1,0
53864005009,"Holland City, Ward 5, Precinct 9",,358,3051,871,0,0,358,28.55,0
