id,name,board,Jocelyn Benson,Christopher Robert Swanson,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
153712000001,"City of Hastings, Ward 1, Precinct 1",,232,27,2,1533,492,0,0,259,32.09
153712000002,"City of Hastings, Ward 2, Precinct 2",,173,17,2,1715,359,0,0,190,20.93
153712000003,"City of Hastings, Ward 3, Precinct 3",,143,34,1,1485,334,0,0,177,22.49
153712000004,"City of Hastings, Ward 4, Precinct 4",,245,44,0,1576,502,0,0,289,31.85
150386000001,"Assyria Township, Precinct 1",,128,29,0,1836,448,0,0,157,24.4
150502000001,"Baltimore Township, Precinct 1",,119,15,0,1619,438,0,0,134,27.05
150556000001,"Barry Township, Precinct 1",,346,67,0,2885,871,0,0,413,30.19
151334000001,"Carlton Township, Precinct 1",,240,39,1,2070,750,0,0,279,36.23
151396000001,"Castleton Township, Precinct 1",,199,32,1,2857,659,0,0,231,23.07
153714000001,"Hastings Charter Township, Precinct 1",,269,42,1,2635,820,0,0,311,31.12
153912000001,"Hope Township, Precinct 1",,341,52,1,2912,887,0,0,393,30.46
154112000001,"Irving Township, Precinct 1",,361,52,2,3227,1064,0,0,413,32.97
154186000001,"Johnstown Township, Precinct 1",,282,43,0,2540,857,0,0,325,33.74
155096000001,"Maple Grove Township, Precinct 1",,100,25,0,1230,378,0,0,125,30.73
156098000001,"Orangeville Township, Precinct 1",,312,59,0,2960,908,0,0,371,30.68
156626000001,"Prairieville Township, Precinct 1",,420,71,3,2831,958,0,0,491,33.84
157042000001,"Rutland Charter Township, Precinct 1",,200,22,0,1559,457,0,0,222,29.31
157042000002,"Rutland Charter Township, Precinct 2",,262,39,5,2028,625,0,0,301,30.82
157962000001,"Thornapple Township, Precinct 1",,250,39,1,2563,767,0,0,289,29.93
157962000002,"Thornapple Township, Precinct 2",,258,41,0,2523,732,0,0,299,29.01
157962000003,"Thornapple Township, Precinct 3",,257,61,1,2698,594,0,0,318,22.02
158844000001,"Woodland Township, Precinct 1",,193,36,1,1743,597,0,0,229,34.25
158902000001,"Yankee Springs Township, Precinct 1",,319,46,0,2730,873,0,0,365,31.98
158902000002,"Yankee Springs Township, Precinct 2",,246,46,1,1834,687,0,0,292,37.46
