id,name,board,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
153712000001,"City of Hastings, Ward 1, Precinct 1",,34,92,81,9,1,1533,492,0,0,216,32.09
153712000002,"City of Hastings, Ward 2, Precinct 2",,23,72,61,2,0,1715,359,0,0,158,20.93
153712000003,"City of Hastings, Ward 3, Precinct 3",,21,69,55,2,0,1485,334,0,0,147,22.49
153712000004,"City of Hastings, Ward 4, Precinct 4",,38,92,69,4,0,1576,502,0,0,203,31.85
150386000001,"Assyria Township, Precinct 1",,34,142,100,5,1,1836,448,0,0,281,24.4
150502000001,"Baltimore Township, Precinct 1",,30,105,145,11,1,1619,438,0,0,291,27.05
150556000001,"Barry Township, Precinct 1",,40,216,160,17,0,2885,871,0,0,433,30.19
151334000001,"Carlton Township, Precinct 1",,48,175,209,12,0,2070,750,0,0,444,36.23
151396000001,"Castleton Township, Precinct 1",,68,159,167,4,1,2857,659,0,0,398,23.07
153714000001,"Hastings Charter Township, Precinct 1",,42,222,216,12,1,2635,820,0,0,492,31.12
153912000001,"Hope Township, Precinct 1",,46,182,208,25,1,2912,887,0,0,461,30.46
154112000001,"Irving Township, Precinct 1",,50,302,245,10,0,3227,1064,0,0,607,32.97
154186000001,"Johnstown Township, Precinct 1",,67,242,194,7,1,2540,857,0,0,510,33.74
155096000001,"Maple Grove Township, Precinct 1",,13,122,106,1,1,1230,378,0,0,242,30.73
156098000001,"Orangeville Township, Precinct 1",,42,265,190,11,3,2960,908,0,0,508,30.68
156626000001,"Prairieville Township, Precinct 1",,56,206,174,13,4,2831,958,0,0,449,33.84
157042000001,"Rutland Charter Township, Precinct 1",,25,109,88,4,0,1559,457,0,0,226,29.31
157042000002,"Rutland Charter Township, Precinct 2",,27,137,136,3,1,2028,625,0,0,303,30.82
157962000001,"Thornapple Township, Precinct 1",,31,264,161,7,0,2563,767,0,0,463,29.93
157962000002,"Thornapple Township, Precinct 2",,44,202,157,11,1,2523,732,0,0,414,29.01
157962000003,"Thornapple Township, Precinct 3",,36,123,104,2,0,2698,594,0,0,265,22.02
158844000001,"Woodland Township, Precinct 1",,39,150,129,8,3,1743,597,0,0,326,34.25
158902000001,"Yankee Springs Township, Precinct 1",,54,214,206,13,2,2730,873,0,0,487,31.98
158902000002,"Yankee Springs Township, Precinct 2",,40,178,153,5,2,1834,687,0,0,376,37.46
