id,name,board,Ben Ambrose,Jamie Hill,Clyde Welford,Unresolved Write-In,registered,ballots,over_votes,under_votes,total,turnout
153712000001,"City of Hastings, Ward 1, Precinct 1",,99,108,27,1,1533,492,0,0,234,32.09
153712000002,"City of Hastings, Ward 2, Precinct 2",,68,89,18,3,1715,359,0,0,175,20.93
153712000003,"City of Hastings, Ward 3, Precinct 3",,79,50,34,2,1485,334,0,0,163,22.49
153712000004,"City of Hastings, Ward 4, Precinct 4",,123,106,32,2,1576,502,0,0,261,31.85
150386000001,"Assyria Township, Precinct 1",,49,72,22,0,1836,448,0,0,143,24.4
150502000001,"Baltimore Township, Precinct 1",,55,45,16,2,1619,438,0,0,116,27.05
150556000001,"Barry Township, Precinct 1",,193,155,37,3,2885,871,0,0,385,30.19
151334000001,"Carlton Township, Precinct 1",,90,130,32,2,2070,750,0,0,252,36.23
151396000001,"Castleton Township, Precinct 1",,80,89,47,1,2857,659,0,0,216,23.07
153714000001,"Hastings Charter Township, Precinct 1",,116,115,38,4,2635,820,0,0,269,31.12
153912000001,"Hope Township, Precinct 1",,147,162,45,3,2912,887,0,0,354,30.46
154112000001,"Irving Township, Precinct 1",,183,120,62,4,3227,1064,0,0,365,32.97
154186000001,"Johnstown Township, Precinct 1",,133,130,33,1,2540,857,0,0,296,33.74
155096000001,"Maple Grove Township, Precinct 1",,28,63,16,0,1230,378,0,0,107,30.73
156098000001,"Orangeville Township, Precinct 1",,165,98,78,2,2960,908,0,0,341,30.68
156626000001,"Prairieville Township, Precinct 1",,206,163,56,3,2831,958,0,0,425,33.84
157042000001,"Rutland Charter Township, Precinct 1",,75,109,23,1,1559,457,0,0,207,29.31
157042000002,"Rutland Charter Township, Precinct 2",,143,92,42,2,2028,625,0,0,277,30.82
157962000001,"Thornapple Township, Precinct 1",,128,97,33,3,2563,767,0,0,258,29.93
157962000002,"Thornapple Township, Precinct 2",,109,128,35,4,2523,732,0,0,272,29.01
157962000003,"Thornapple Township, Precinct 3",,121,117,53,5,2698,594,0,0,291,22.02
158844000001,"Woodland Township, Precinct 1",,108,80,16,0,1743,597,0,0,204,34.25
158902000001,"Yankee Springs Township, Precinct 1",,153,120,53,2,2730,873,0,0,326,31.98
158902000002,"Yankee Springs Township, Precinct 2",,143,74,47,1,1834,687,0,0,264,37.46
