name,id,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
"Auburn City, Precinct 1",170408000001,120,21,163,0
"Bay City, Ward 1, Precinct 1",170602001001,291,39,253,1
"Bay City, Ward 2, Precinct 1",170602002001,410,26,279,1
"Bay City, Ward 3, Precinct 1",170602003001,258,30,219,1
"Bay City, Ward 4, Precinct 1",170602004001,258,38,227,2
"Bay City, Ward 5, Precinct 1",170602005001,265,43,341,0
"Bay City, Ward 6, Precinct 1",170602006001,194,21,203,0
"Bay City, Ward 7, Precinct 1",170602007001,235,40,231,1
"Bay City, Ward 8, Precinct 1",170602008001,237,30,220,0
"Bay City, Ward 9, Precinct 1",170602009001,216,37,252,1
"Essexville City, Precinct 1",172642000001,187,27,177,1
"Essexville City, Precinct 2",172642000002,178,16,185,0
"Pinconning City, Precinct 1",176416000001,49,13,83,0
"Bangor Township, Precinct 1",170512000001,242,39,375,0
"Bangor Township, Precinct 2",170512000002,130,11,206,0
"Bangor Township, Precinct 3",170512000003,143,43,284,0
"Bangor Township, Precinct 4",170512000004,275,48,409,2
"Beaver Township, Precinct 1",170654000001,101,13,200,0
"Frankenlust Township, Precinct 1",173018000001,219,48,265,0
"Fraser Township, Precinct 1",173040000001,91,30,236,2
"Garfield Township, Precinct 1",173154000001,62,13,117,0
"Gibson Township, Precinct 1",173204000001,20,7,46,0
"Hampton Township, Precinct 1",173626000001,337,35,430,2
"Hampton Township, Precinct 2",173626000002,303,41,366,0
"Kawkawlin Township, Precinct 1",174236000001,185,30,365,0
"Merritt Township, Precinct 1",175322000001,49,8,92,0
"Monitor Township, Precinct 1",175498000001,119,21,232,0
"Monitor Township, Precinct 2",175498000002,236,76,438,1
"Monitor Township, Precinct 3",175498000003,199,25,355,0
"Mount Forest Township, Precinct 1",175592000001,31,4,84,0
"Pinconning Township, Precinct 1",176418000001,71,14,188,0
"Portsmouth Township, Precinct 1",176598000001,76,13,144,0
"Portsmouth Township, Precinct 2",176598000002,113,14,164,0
"Williams Township, Precinct 1",178738000001,174,38,226,0
"Williams Township, Precinct 2",178738000002,89,9,110,0
