id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in,Justin Blackburn
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",64,19,2,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",30,5,0,0
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",76,7,1,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",52,15,0,0
211058000001,"City of Bridgman, Precinct 1",78,23,0,0
211140000001,"City of Buchanan, Precinct 1",165,51,0,0
211140000002,"City of Buchanan, Precinct 2",156,17,0,0
211732000001,"City of Coloma, Precinct 1",100,25,0,0
215722000001,"City of New Buffalo, Precinct 1",262,27,0,0
215776001001,"City of Niles, Ward 1, Precinct 1",47,15,1,0
215776002002,"City of Niles, Ward 2, Precinct 2",63,22,0,0
215776003003,"City of Niles, Ward 3, Precinct 3",61,22,1,0
215776004004,"City of Niles, Ward 4, Precinct 4",98,28,1,0
217096000001,"City of St. Joseph, Precinct 1",221,31,0,0
217096000002,"City of St. Joseph, Precinct 2",249,32,0,0
217096000003,"City of St. Joseph, Precinct 3",174,32,2,0
218450000001,"City of Watervliet, Precinct 1",115,34,0,0
210484000001,"Bainbridge Township, Precinct 1",155,25,0,0
210552000001,"Baroda Township, Precinct 1",70,29,0,0
210740000001,"Benton Charter Township, Precinct 1",86,12,0,0
210740000002,"Benton Charter Township, Precinct 2",58,9,1,0
210740000003,"Benton Charter Township, Precinct 3",60,12,1,0
210740000004,"Benton Charter Township, Precinct 4",86,11,0,0
210740000005,"Benton Charter Township, Precinct 5",57,17,1,0
210740000006,"Benton Charter Township, Precinct 6",83,9,1,0
210782000001,"Berrien Township, Precinct 1",84,18,0,0
210782000002,"Berrien Township, Precinct 2",65,11,1,0
210792000001,"Bertrand Charter Township, Precinct 1",85,18,0,0
211142000001,"Buchanan Charter Township, Precinct 1",68,19,0,0
211548000001,"Chikaming Township, Precinct 1",278,29,1,0
211734000001,"Coloma Charter Township, Precinct 1",135,33,1,0
213132000001,"Galien Township, Precinct 1",136,15,0,0
213586000001,"Hagar Township, Precinct 1",124,26,0,0
214426000001,"Lake Charter Township, Precinct 1",279,51,0,0
214760000001,"Lincoln Charter Township, Precinct 1",166,34,0,0
214760000002,"Lincoln Charter Township, Precinct 2",154,27,0,0
214760000003,"Lincoln Charter Township, Precinct 3",106,24,1,0
214760000004,"Lincoln Charter Township, Precinct 4",105,24,1,0
214760000005,"Lincoln Charter Township, Precinct 5",110,20,0,0
215723000001,"New Buffalo Township, Precinct 1",216,28,1,0
215778000001,"Niles Charter Township, Precinct 1",118,28,0,0
215778000002,"Niles Charter Township, Precinct 2",108,34,0,0
215778000003,"Niles Charter Township, Precinct 3",53,9,1,0
216118000001,"Oronoko Charter Township, Precinct 1",93,18,1,0
216118000002,"Oronoko Charter Township, Precinct 2",165,22,1,0
216448000001,"Pipestone Township, Precinct 1",121,21,1,0
217010000001,"Royalton Township, Precinct 1",181,37,2,0
217444000001,"Sodus Township, Precinct 1",151,27,0,0
217098000001,"St. Joseph Charter Township, Precinct 1",194,25,1,0
217098000002,"St. Joseph Charter Township, Precinct 2",118,18,1,0
217098000003,"St. Joseph Charter Township, Precinct 3",100,26,1,0
217098000004,"St. Joseph Charter Township, Precinct 4",144,45,2,0
217974000001,"Three Oaks Township, Precinct 1",154,32,0,0
218452000001,"Watervliet Charter Township, Precinct 1",184,37,0,0
218512000001,"Weesaw Township, Precinct 1",140,25,1,0
