id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",0,2,0,1,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",0,1,0,0,0
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",0,0,2,1,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",0,2,3,0,0
211058000001,"City of Bridgman, Precinct 1",22,80,32,8,0
211140000001,"City of Buchanan, Precinct 1",0,0,0,0,0
211140000002,"City of Buchanan, Precinct 2",0,0,0,0,0
211732000001,"City of Coloma, Precinct 1",0,0,0,0,0
215722000001,"City of New Buffalo, Precinct 1",0,0,0,0,0
215776001001,"City of Niles, Ward 1, Precinct 1",9,28,11,0,0
215776002002,"City of Niles, Ward 2, Precinct 2",12,27,27,1,0
215776003003,"City of Niles, Ward 3, Precinct 3",6,17,8,3,0
215776004004,"City of Niles, Ward 4, Precinct 4",22,39,18,3,0
217096000001,"City of St. Joseph, Precinct 1",30,126,35,15,0
217096000002,"City of St. Joseph, Precinct 2",14,56,23,23,0
217096000003,"City of St. Joseph, Precinct 3",21,49,27,7,0
218450000001,"City of Watervliet, Precinct 1",0,0,0,0,0
210484000001,"Bainbridge Township, Precinct 1",0,0,0,0,0
210552000001,"Baroda Township, Precinct 1",18,90,54,12,0
210740000001,"Benton Charter Township, Precinct 1",8,48,25,16,1
210740000002,"Benton Charter Township, Precinct 2",3,5,3,5,0
210740000003,"Benton Charter Township, Precinct 3",3,26,10,6,0
210740000004,"Benton Charter Township, Precinct 4",8,32,10,3,0
210740000005,"Benton Charter Township, Precinct 5",15,18,17,7,0
210740000006,"Benton Charter Township, Precinct 6",9,9,9,1,0
210782000001,"Berrien Township, Precinct 1",24,100,36,5,0
210782000002,"Berrien Township, Precinct 2",23,58,30,3,1
210792000001,"Bertrand Charter Township, Precinct 1",33,108,39,6,0
211142000001,"Buchanan Charter Township, Precinct 1",47,133,78,11,0
211548000001,"Chikaming Township, Precinct 1",20,119,50,5,0
211734000001,"Coloma Charter Township, Precinct 1",36,158,96,30,2
213132000001,"Galien Township, Precinct 1",0,0,0,0,0
213586000001,"Hagar Township, Precinct 1",26,68,49,19,1
214426000001,"Lake Charter Township, Precinct 1",0,0,0,0,0
214760000001,"Lincoln Charter Township, Precinct 1",32,145,79,41,1
214760000002,"Lincoln Charter Township, Precinct 2",30,141,54,23,0
214760000003,"Lincoln Charter Township, Precinct 3",28,120,60,18,0
214760000004,"Lincoln Charter Township, Precinct 4",22,96,47,16,0
214760000005,"Lincoln Charter Township, Precinct 5",24,126,66,15,1
215723000001,"New Buffalo Township, Precinct 1",10,55,21,3,0
215778000001,"Niles Charter Township, Precinct 1",70,147,75,5,1
215778000002,"Niles Charter Township, Precinct 2",25,106,53,6,0
215778000003,"Niles Charter Township, Precinct 3",13,62,64,4,0
216118000001,"Oronoko Charter Township, Precinct 1",17,136,60,14,0
216118000002,"Oronoko Charter Township, Precinct 2",27,51,33,3,2
216448000001,"Pipestone Township, Precinct 1",0,0,0,0,0
217010000001,"Royalton Township, Precinct 1",34,215,129,32,0
217444000001,"Sodus Township, Precinct 1",0,0,0,0,0
217098000001,"St. Joseph Charter Township, Precinct 1",23,77,47,13,0
217098000002,"St. Joseph Charter Township, Precinct 2",19,98,36,14,0
217098000003,"St. Joseph Charter Township, Precinct 3",20,100,46,19,0
217098000004,"St. Joseph Charter Township, Precinct 4",31,166,62,39,0
217974000001,"Three Oaks Township, Precinct 1",23,59,36,3,0
218452000001,"Watervliet Charter Township, Precinct 1",0,0,0,0,0
218512000001,"Weesaw Township, Precinct 1",0,0,0,0,0
