id,name,Diop Harris II,Sean McCann,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",0,0,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",1,0,0
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",1,0,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",1,0,0
211732000001,"City of Coloma, Precinct 1",0,0,0
217096000001,"City of St. Joseph, Precinct 1",7,4,0
217096000002,"City of St. Joseph, Precinct 2",9,13,0
217096000003,"City of St. Joseph, Precinct 3",12,4,1
218450000001,"City of Watervliet, Precinct 1",3,0,0
210484000001,"Bainbridge Township, Precinct 1",9,7,0
210740000001,"Benton Charter Township, Precinct 1",3,12,0
210740000002,"Benton Charter Township, Precinct 2",11,10,0
210740000003,"Benton Charter Township, Precinct 3",6,9,1
210740000004,"Benton Charter Township, Precinct 4",5,7,0
210740000005,"Benton Charter Township, Precinct 5",8,8,0
210740000006,"Benton Charter Township, Precinct 6",8,4,0
211734000001,"Coloma Charter Township, Precinct 1",1,1,0
213586000001,"Hagar Township, Precinct 1",5,1,0
214760000003,"Lincoln Charter Township, Precinct 3",0,0,0
217010000001,"Royalton Township, Precinct 1",0,2,0
217098000001,"St. Joseph Charter Township, Precinct 1",6,12,1
217098000002,"St. Joseph Charter Township, Precinct 2",8,9,0
217098000003,"St. Joseph Charter Township, Precinct 3",4,6,0
217098000004,"St. Joseph Charter Township, Precinct 4",9,7,0
218452000001,"Watervliet Charter Township, Precinct 1",1,0,0
