id,name,Bill Huizenga,Philip Tanis,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",11,2,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",7,0,1
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",5,4,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",7,1,0
211732000001,"City of Coloma, Precinct 1",163,25,0
217096000001,"City of St. Joseph, Precinct 1",320,37,0
217096000002,"City of St. Joseph, Precinct 2",232,45,1
217096000003,"City of St. Joseph, Precinct 3",186,34,1
218450000001,"City of Watervliet, Precinct 1",128,21,1
210484000001,"Bainbridge Township, Precinct 1",426,73,0
210740000001,"Benton Charter Township, Precinct 1",149,26,0
210740000002,"Benton Charter Township, Precinct 2",32,12,0
210740000003,"Benton Charter Township, Precinct 3",66,11,0
210740000004,"Benton Charter Township, Precinct 4",146,17,1
210740000005,"Benton Charter Township, Precinct 5",97,15,0
210740000006,"Benton Charter Township, Precinct 6",34,7,0
211734000001,"Coloma Charter Township, Precinct 1",622,74,5
213586000001,"Hagar Township, Precinct 1",360,70,0
214760000003,"Lincoln Charter Township, Precinct 3",48,10,0
217010000001,"Royalton Township, Precinct 1",31,4,0
217098000001,"St. Joseph Charter Township, Precinct 1",243,26,0
217098000002,"St. Joseph Charter Township, Precinct 2",295,36,0
217098000003,"St. Joseph Charter Township, Precinct 3",293,20,0
217098000004,"St. Joseph Charter Township, Precinct 4",459,52,1
218452000001,"Watervliet Charter Township, Precinct 1",328,45,0
