id,name,Christian Vukasovich,Write-in
211058000001,"City of Bridgman, Precinct 1",89,0
211140000001,"City of Buchanan, Precinct 1",194,1
211140000002,"City of Buchanan, Precinct 2",162,4
215722000001,"City of New Buffalo, Precinct 1",264,1
215776001001,"City of Niles, Ward 1, Precinct 1",60,0
215776002002,"City of Niles, Ward 2, Precinct 2",78,0
215776003003,"City of Niles, Ward 3, Precinct 3",73,2
215776004004,"City of Niles, Ward 4, Precinct 4",113,3
210552000001,"Baroda Township, Precinct 1",94,1
210782000001,"Berrien Township, Precinct 1",89,3
210782000002,"Berrien Township, Precinct 2",65,2
210792000001,"Bertrand Charter Township, Precinct 1",90,0
211142000001,"Buchanan Charter Township, Precinct 1",80,0
211548000001,"Chikaming Township, Precinct 1",280,4
213132000001,"Galien Township, Precinct 1",138,2
214426000001,"Lake Charter Township, Precinct 1",297,0
214760000001,"Lincoln Charter Township, Precinct 1",181,0
214760000002,"Lincoln Charter Township, Precinct 2",164,0
214760000003,"Lincoln Charter Township, Precinct 3",98,2
214760000004,"Lincoln Charter Township, Precinct 4",115,0
214760000005,"Lincoln Charter Township, Precinct 5",118,0
215723000001,"New Buffalo Township, Precinct 1",222,1
215778000001,"Niles Charter Township, Precinct 1",125,1
215778000002,"Niles Charter Township, Precinct 2",134,3
215778000003,"Niles Charter Township, Precinct 3",55,0
216118000001,"Oronoko Charter Township, Precinct 1",96,2
216118000002,"Oronoko Charter Township, Precinct 2",167,2
216448000001,"Pipestone Township, Precinct 1",127,2
217010000001,"Royalton Township, Precinct 1",180,2
217444000001,"Sodus Township, Precinct 1",154,3
217974000001,"Three Oaks Township, Precinct 1",164,1
218512000001,"Weesaw Township, Precinct 1",146,1
