id,name,Christian Vukasovich,Write-in
211058000001,"City of Bridgman, Precinct 1",270,0
211140000001,"City of Buchanan, Precinct 1",200,1
211140000002,"City of Buchanan, Precinct 2",164,4
215722000001,"City of New Buffalo, Precinct 1",269,1
215776001001,"City of Niles, Ward 1, Precinct 1",140,0
215776002002,"City of Niles, Ward 2, Precinct 2",218,0
215776003003,"City of Niles, Ward 3, Precinct 3",167,3
215776004004,"City of Niles, Ward 4, Precinct 4",295,4
210552000001,"Baroda Township, Precinct 1",229,1
210782000001,"Berrien Township, Precinct 1",232,3
210782000002,"Berrien Township, Precinct 2",135,2
210792000001,"Bertrand Charter Township, Precinct 1",233,0
211142000001,"Buchanan Charter Township, Precinct 1",306,0
211548000001,"Chikaming Township, Precinct 1",698,5
213132000001,"Galien Township, Precinct 1",141,2
214426000001,"Lake Charter Township, Precinct 1",321,0
214760000001,"Lincoln Charter Township, Precinct 1",411,1
214760000002,"Lincoln Charter Township, Precinct 2",389,0
214760000003,"Lincoln Charter Township, Precinct 3",329,2
214760000004,"Lincoln Charter Township, Precinct 4",277,0
214760000005,"Lincoln Charter Township, Precinct 5",311,0
215723000001,"New Buffalo Township, Precinct 1",434,1
215778000001,"Niles Charter Township, Precinct 1",478,2
215778000002,"Niles Charter Township, Precinct 2",378,3
215778000003,"Niles Charter Township, Precinct 3",209,0
216118000001,"Oronoko Charter Township, Precinct 1",252,2
216118000002,"Oronoko Charter Township, Precinct 2",377,2
216448000001,"Pipestone Township, Precinct 1",128,2
217010000001,"Royalton Township, Precinct 1",490,3
217444000001,"Sodus Township, Precinct 1",158,3
217974000001,"Three Oaks Township, Precinct 1",306,1
218512000001,"Weesaw Township, Precinct 1",159,2
