id,name,Tim Walberg,Write-in
211058000001,"City of Bridgman, Precinct 1",110,0
211140000001,"City of Buchanan, Precinct 1",158,0
211140000002,"City of Buchanan, Precinct 2",139,0
215722000001,"City of New Buffalo, Precinct 1",104,0
215776001001,"City of Niles, Ward 1, Precinct 1",48,1
215776002002,"City of Niles, Ward 2, Precinct 2",61,0
215776003003,"City of Niles, Ward 3, Precinct 3",67,0
215776004004,"City of Niles, Ward 4, Precinct 4",134,0
210552000001,"Baroda Township, Precinct 1",253,2
210782000001,"Berrien Township, Precinct 1",145,0
210782000002,"Berrien Township, Precinct 2",144,0
210792000001,"Bertrand Charter Township, Precinct 1",155,2
211142000001,"Buchanan Charter Township, Precinct 1",232,2
211548000001,"Chikaming Township, Precinct 1",160,0
213132000001,"Galien Township, Precinct 1",137,0
214426000001,"Lake Charter Township, Precinct 1",462,0
214760000001,"Lincoln Charter Township, Precinct 1",257,1
214760000002,"Lincoln Charter Township, Precinct 2",270,1
214760000003,"Lincoln Charter Township, Precinct 3",147,1
214760000004,"Lincoln Charter Township, Precinct 4",181,1
214760000005,"Lincoln Charter Township, Precinct 5",178,0
215723000001,"New Buffalo Township, Precinct 1",97,0
215778000001,"Niles Charter Township, Precinct 1",213,0
215778000002,"Niles Charter Township, Precinct 2",186,1
215778000003,"Niles Charter Township, Precinct 3",78,0
216118000001,"Oronoko Charter Township, Precinct 1",167,0
216118000002,"Oronoko Charter Township, Precinct 2",83,0
216448000001,"Pipestone Township, Precinct 1",296,0
217010000001,"Royalton Township, Precinct 1",344,0
217444000001,"Sodus Township, Precinct 1",268,0
217974000001,"Three Oaks Township, Precinct 1",124,1
218512000001,"Weesaw Township, Precinct 1",216,0
