id,name,Tim Walberg,Write-in
211058000001,"City of Bridgman, Precinct 1",268,1
211140000001,"City of Buchanan, Precinct 1",161,0
211140000002,"City of Buchanan, Precinct 2",142,0
215722000001,"City of New Buffalo, Precinct 1",106,0
215776001001,"City of Niles, Ward 1, Precinct 1",98,1
215776002002,"City of Niles, Ward 2, Precinct 2",135,1
215776003003,"City of Niles, Ward 3, Precinct 3",107,0
215776004004,"City of Niles, Ward 4, Precinct 4",223,0
210552000001,"Baroda Township, Precinct 1",427,3
210782000001,"Berrien Township, Precinct 1",309,0
210782000002,"Berrien Township, Precinct 2",258,0
210792000001,"Bertrand Charter Township, Precinct 1",335,2
211142000001,"Buchanan Charter Township, Precinct 1",498,3
211548000001,"Chikaming Township, Precinct 1",350,0
213132000001,"Galien Township, Precinct 1",138,0
214426000001,"Lake Charter Township, Precinct 1",486,0
214760000001,"Lincoln Charter Township, Precinct 1",542,1
214760000002,"Lincoln Charter Township, Precinct 2",515,1
214760000003,"Lincoln Charter Township, Precinct 3",330,1
214760000004,"Lincoln Charter Township, Precinct 4",368,1
214760000005,"Lincoln Charter Township, Precinct 5",403,1
215723000001,"New Buffalo Township, Precinct 1",190,0
215778000001,"Niles Charter Township, Precinct 1",543,2
215778000002,"Niles Charter Township, Precinct 2",391,3
215778000003,"Niles Charter Township, Precinct 3",241,0
216118000001,"Oronoko Charter Township, Precinct 1",386,0
216118000002,"Oronoko Charter Township, Precinct 2",199,0
216448000001,"Pipestone Township, Precinct 1",299,0
217010000001,"Royalton Township, Precinct 1",720,1
217444000001,"Sodus Township, Precinct 1",274,0
217974000001,"Three Oaks Township, Precinct 1",244,1
218512000001,"Weesaw Township, Precinct 1",220,0
