id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",54,10,87,0
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",26,9,33,0
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",55,14,101,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",37,7,48,0
211058000001,"City of Bridgman, Precinct 1",88,15,84,0
211140000001,"City of Buchanan, Precinct 1",0,0,0,0
211140000002,"City of Buchanan, Precinct 2",0,0,0,0
211732000001,"City of Coloma, Precinct 1",0,0,0,0
215722000001,"City of New Buffalo, Precinct 1",0,0,0,0
215776001001,"City of Niles, Ward 1, Precinct 1",37,13,19,0
215776002002,"City of Niles, Ward 2, Precinct 2",58,13,67,0
215776003003,"City of Niles, Ward 3, Precinct 3",46,10,43,1
215776004004,"City of Niles, Ward 4, Precinct 4",83,10,72,0
217096000001,"City of St. Joseph, Precinct 1",173,22,151,0
217096000002,"City of St. Joseph, Precinct 2",154,13,132,0
217096000003,"City of St. Joseph, Precinct 3",120,13,79,0
218450000001,"City of Watervliet, Precinct 1",0,0,0,0
210484000001,"Bainbridge Township, Precinct 1",0,0,0,0
210552000001,"Baroda Township, Precinct 1",57,14,58,0
210740000001,"Benton Charter Township, Precinct 1",68,8,84,1
210740000002,"Benton Charter Township, Precinct 2",29,4,48,0
210740000003,"Benton Charter Township, Precinct 3",54,11,64,0
210740000004,"Benton Charter Township, Precinct 4",62,12,80,1
210740000005,"Benton Charter Township, Precinct 5",46,19,87,0
210740000006,"Benton Charter Township, Precinct 6",67,29,104,1
210782000001,"Berrien Township, Precinct 1",64,11,84,0
210782000002,"Berrien Township, Precinct 2",33,6,41,0
210792000001,"Bertrand Charter Township, Precinct 1",80,14,74,0
211142000001,"Buchanan Charter Township, Precinct 1",89,33,103,0
211548000001,"Chikaming Township, Precinct 1",171,14,229,0
211734000001,"Coloma Charter Township, Precinct 1",123,26,114,1
213132000001,"Galien Township, Precinct 1",0,0,0,0
213586000001,"Hagar Township, Precinct 1",75,11,107,0
214426000001,"Lake Charter Township, Precinct 1",0,0,0,0
214760000001,"Lincoln Charter Township, Precinct 1",114,24,117,1
214760000002,"Lincoln Charter Township, Precinct 2",102,22,104,0
214760000003,"Lincoln Charter Township, Precinct 3",148,28,145,0
214760000004,"Lincoln Charter Township, Precinct 4",82,27,63,0
214760000005,"Lincoln Charter Township, Precinct 5",82,20,94,0
215723000001,"New Buffalo Township, Precinct 1",82,16,117,0
215778000001,"Niles Charter Township, Precinct 1",128,46,185,0
215778000002,"Niles Charter Township, Precinct 2",80,27,128,0
215778000003,"Niles Charter Township, Precinct 3",53,19,89,0
216118000001,"Oronoko Charter Township, Precinct 1",86,4,75,0
216118000002,"Oronoko Charter Township, Precinct 2",103,12,114,0
216448000001,"Pipestone Township, Precinct 1",0,0,0,0
217010000001,"Royalton Township, Precinct 1",182,20,154,0
217444000001,"Sodus Township, Precinct 1",0,0,0,0
217098000001,"St. Joseph Charter Township, Precinct 1",156,31,209,0
217098000002,"St. Joseph Charter Township, Precinct 2",100,20,125,0
217098000003,"St. Joseph Charter Township, Precinct 3",82,8,100,0
217098000004,"St. Joseph Charter Township, Precinct 4",176,29,164,0
217974000001,"Three Oaks Township, Precinct 1",63,16,72,0
218452000001,"Watervliet Charter Township, Precinct 1",0,0,0,0
218512000001,"Weesaw Township, Precinct 1",0,0,0,0
