id,name,Mike Rogers,Write-in
210752001001,"City of Benton Harbor, Ward 1, Precinct 1",2,1
210752002001,"City of Benton Harbor, Ward 2, Precinct 2",1,0
210752003001,"City of Benton Harbor, Ward 3, Precinct 3",3,0
210752004001,"City of Benton Harbor, Ward 4, Precinct 4",5,0
211058000001,"City of Bridgman, Precinct 1",142,1
211140000001,"City of Buchanan, Precinct 1",0,0
211140000002,"City of Buchanan, Precinct 2",0,0
211732000001,"City of Coloma, Precinct 1",0,0
215722000001,"City of New Buffalo, Precinct 1",0,0
215776001001,"City of Niles, Ward 1, Precinct 1",46,0
215776002002,"City of Niles, Ward 2, Precinct 2",63,1
215776003003,"City of Niles, Ward 3, Precinct 3",35,0
215776004004,"City of Niles, Ward 4, Precinct 4",75,1
217096000001,"City of St. Joseph, Precinct 1",202,0
217096000002,"City of St. Joseph, Precinct 2",109,0
217096000003,"City of St. Joseph, Precinct 3",97,1
218450000001,"City of Watervliet, Precinct 1",0,0
210484000001,"Bainbridge Township, Precinct 1",0,0
210552000001,"Baroda Township, Precinct 1",168,0
210740000001,"Benton Charter Township, Precinct 1",90,1
210740000002,"Benton Charter Township, Precinct 2",16,0
210740000003,"Benton Charter Township, Precinct 3",44,0
210740000004,"Benton Charter Township, Precinct 4",51,0
210740000005,"Benton Charter Township, Precinct 5",55,0
210740000006,"Benton Charter Township, Precinct 6",27,0
210782000001,"Berrien Township, Precinct 1",160,1
210782000002,"Berrien Township, Precinct 2",111,0
210792000001,"Bertrand Charter Township, Precinct 1",178,0
211142000001,"Buchanan Charter Township, Precinct 1",263,1
211548000001,"Chikaming Township, Precinct 1",183,0
211734000001,"Coloma Charter Township, Precinct 1",302,1
213132000001,"Galien Township, Precinct 1",0,0
213586000001,"Hagar Township, Precinct 1",159,0
214426000001,"Lake Charter Township, Precinct 1",0,0
214760000001,"Lincoln Charter Township, Precinct 1",280,0
214760000002,"Lincoln Charter Township, Precinct 2",242,0
214760000003,"Lincoln Charter Township, Precinct 3",218,0
214760000004,"Lincoln Charter Township, Precinct 4",171,0
214760000005,"Lincoln Charter Township, Precinct 5",219,1
215723000001,"New Buffalo Township, Precinct 1",89,0
215778000001,"Niles Charter Township, Precinct 1",285,1
215778000002,"Niles Charter Township, Precinct 2",185,1
215778000003,"Niles Charter Township, Precinct 3",138,1
216118000001,"Oronoko Charter Township, Precinct 1",218,0
216118000002,"Oronoko Charter Township, Precinct 2",115,0
216448000001,"Pipestone Township, Precinct 1",0,0
217010000001,"Royalton Township, Precinct 1",389,0
217444000001,"Sodus Township, Precinct 1",0,0
217098000001,"St. Joseph Charter Township, Precinct 1",155,1
217098000002,"St. Joseph Charter Township, Precinct 2",153,1
217098000003,"St. Joseph Charter Township, Precinct 3",175,0
217098000004,"St. Joseph Charter Township, Precinct 4",285,0
217974000001,"Three Oaks Township, Precinct 1",119,0
218452000001,"Watervliet Charter Township, Precinct 1",0,0
218512000001,"Weesaw Township, Precinct 1",0,0
