id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt
231086000001,"City of Bronson, Precinct 1",22,48,39,2
231702001001,"City of Coldwater, Precinct 1",15,74,41,3
231702002001,"City of Coldwater, Precinct 2",35,106,78,0
231702003001,"City of Coldwater, Precinct 3",57,164,105,3
231702004001,"City of Coldwater, Precinct 4",22,55,63,1
230112000001,"Algansee Township, Precinct 1",30,144,87,7
230580000001,"Batavia Township, Precinct 1",19,65,76,4
230806000001,"Bethel Township, Precinct 1",16,77,64,3
231088000001,"Bronson Township, Precinct 1",25,73,56,3
231214000001,"Butler Township, Precinct 1",12,53,73,1
231256000001,"California Township, Precinct 1",7,37,35,0
231704000001,"Coldwater Township, Precinct 1",76,271,195,12
233212000001,"Gilead Township, Precinct 1",10,25,18,2
233228000001,"Girard Township, Precinct 1",31,139,117,3
234326000001,"Kinderhook Township, Precinct 1",27,128,82,1
235240000001,"Matteson Township, Precinct 1",11,69,66,3
235786000001,"Noble Township, Precinct 1",5,38,18,1
236184000001,"Ovid Township, Precinct 1",35,230,156,11
236666000001,"Quincy Township, Precinct 1",82,222,168,6
237344000001,"Sherwood Township, Precinct 1",26,93,75,6
238128000001,"Union Township, Precinct 1",58,139,107,11
