id,name,Christian Vukasovich
231086000001,"City of Bronson, Precinct 1",3
231702001001,"City of Coldwater, Precinct 1",12
231702002001,"City of Coldwater, Precinct 2",14
231702003001,"City of Coldwater, Precinct 3",20
231702004001,"City of Coldwater, Precinct 4",13
230112000001,"Algansee Township, Precinct 1",4
230580000001,"Batavia Township, Precinct 1",5
230806000001,"Bethel Township, Precinct 1",3
231088000001,"Bronson Township, Precinct 1",1
231214000001,"Butler Township, Precinct 1",2
231256000001,"California Township, Precinct 1",0
231704000001,"Coldwater Township, Precinct 1",19
233212000001,"Gilead Township, Precinct 1",0
233228000001,"Girard Township, Precinct 1",7
234326000001,"Kinderhook Township, Precinct 1",10
235240000001,"Matteson Township, Precinct 1",5
235786000001,"Noble Township, Precinct 1",3
236184000001,"Ovid Township, Precinct 1",9
236666000001,"Quincy Township, Precinct 1",11
237344000001,"Sherwood Township, Precinct 1",2
238128000001,"Union Township, Precinct 1",8
