id,name,Tim Walberg
231086000001,"City of Bronson, Precinct 1",3
231702001001,"City of Coldwater, Precinct 1",10
231702002001,"City of Coldwater, Precinct 2",2
231702003001,"City of Coldwater, Precinct 3",23
231702004001,"City of Coldwater, Precinct 4",9
230112000001,"Algansee Township, Precinct 1",11
230580000001,"Batavia Township, Precinct 1",4
230806000001,"Bethel Township, Precinct 1",12
231088000001,"Bronson Township, Precinct 1",6
231214000001,"Butler Township, Precinct 1",10
231256000001,"California Township, Precinct 1",1
231704000001,"Coldwater Township, Precinct 1",59
233212000001,"Gilead Township, Precinct 1",1
233228000001,"Girard Township, Precinct 1",7
234326000001,"Kinderhook Township, Precinct 1",6
235240000001,"Matteson Township, Precinct 1",3
235786000001,"Noble Township, Precinct 1",0
236184000001,"Ovid Township, Precinct 1",23
236666000001,"Quincy Township, Precinct 1",23
237344000001,"Sherwood Township, Precinct 1",3
238128000001,"Union Township, Precinct 1",2
