id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens
231086000001,"City of Bronson, Precinct 1",2,0,1
231702001001,"City of Coldwater, Precinct 1",17,0,0
231702002001,"City of Coldwater, Precinct 2",13,0,6
231702003001,"City of Coldwater, Precinct 3",20,0,5
231702004001,"City of Coldwater, Precinct 4",10,1,3
230112000001,"Algansee Township, Precinct 1",5,0,0
230580000001,"Batavia Township, Precinct 1",2,0,3
230806000001,"Bethel Township, Precinct 1",1,1,1
231088000001,"Bronson Township, Precinct 1",0,0,1
231214000001,"Butler Township, Precinct 1",0,0,2
231256000001,"California Township, Precinct 1",0,0,0
231704000001,"Coldwater Township, Precinct 1",15,0,6
233212000001,"Gilead Township, Precinct 1",0,0,0
233228000001,"Girard Township, Precinct 1",1,0,7
234326000001,"Kinderhook Township, Precinct 1",8,1,3
235240000001,"Matteson Township, Precinct 1",1,0,4
235786000001,"Noble Township, Precinct 1",3,0,0
236184000001,"Ovid Township, Precinct 1",1,2,6
236666000001,"Quincy Township, Precinct 1",9,0,4
237344000001,"Sherwood Township, Precinct 1",0,1,1
238128000001,"Union Township, Precinct 1",7,0,1
