id,name,Mike Rogers
231086000001,"City of Bronson, Precinct 1",102
231702001001,"City of Coldwater, Precinct 1",130
231702002001,"City of Coldwater, Precinct 2",210
231702003001,"City of Coldwater, Precinct 3",315
231702004001,"City of Coldwater, Precinct 4",142
230112000001,"Algansee Township, Precinct 1",256
230580000001,"Batavia Township, Precinct 1",153
230806000001,"Bethel Township, Precinct 1",156
231088000001,"Bronson Township, Precinct 1",145
231214000001,"Butler Township, Precinct 1",137
231256000001,"California Township, Precinct 1",75
231704000001,"Coldwater Township, Precinct 1",537
233212000001,"Gilead Township, Precinct 1",54
233228000001,"Girard Township, Precinct 1",276
234326000001,"Kinderhook Township, Precinct 1",235
235240000001,"Matteson Township, Precinct 1",142
235786000001,"Noble Township, Precinct 1",61
236184000001,"Ovid Township, Precinct 1",417
236666000001,"Quincy Township, Precinct 1",462
237344000001,"Sherwood Township, Precinct 1",192
238128000001,"Union Township, Precinct 1",303
