name,id,Jocelyn Benson,Christopher Robert Swanson,Write-in
"City of Albion, Precinct 1",250098000001,133,14,1
"City of Albion, Precinct 2",250098000002,106,13,0
"City of Albion, Precinct 3",250098000003,190,13,0
"City of Albion, Precinct 4",250098000004,91,13,0
"City of Albion, Precinct 5",250098000005,194,16,0
"City of Albion, Precinct 6",250098000006,112,16,0
"City of Battle Creek, Precinct 1",250592003001,115,18,1
"City of Battle Creek, Precinct 2",250592004002,247,49,1
"City of Battle Creek, Precinct 3",250592005003,274,47,1
"City of Battle Creek, Precinct 4",250592001004,385,83,1
"City of Battle Creek, Precinct 5",250592005005,620,78,0
"City of Battle Creek, Precinct 6",250592004006,403,68,1
"City of Battle Creek, Precinct 7",250592002007,190,27,1
"City of Battle Creek, Precinct 8",250592004008,433,66,2
"City of Battle Creek, Precinct 9",250592003009,248,46,1
"City of Battle Creek, Precinct 10",250592003010,485,91,0
"City of Battle Creek, Precinct 11",250592005011,262,38,2
"City of Battle Creek, Precinct 12",250592002012,393,64,3
"City of Battle Creek, Precinct 13",250592001013,319,50,2
"City of Marshall, Precinct 1",255194000001,464,82,2
"City of Marshall, Precinct 2",255194000002,496,63,1
"City of Springfield, Precinct 1",257570000001,285,75,1
"Albion Township, Precinct 1",250100000001,86,13,0
"Athens Township, Precinct 1",250390000001,162,26,1
"Bedford Township, Precinct 1",250672000001,237,34,0
"Bedford Township, Precinct 2",250672000002,232,37,0
"Bedford Township, Precinct 3",250672000003,377,47,1
"Marengo Township, Precinct 1",255152000001,154,37,0
"Marshall Township, Precinct 1",255196000001,344,43,2
"Newton Township, Precinct 1",255762000001,251,39,0
"Pennfield Township, Precinct 2",256344000002,423,66,3
"Pennfield Township, Precinct 3",256344000003,369,56,2
"Sheridan Township, Precinct 1",257298000001,123,24,0
"Tekonsha Township, Precinct 1",257918000001,97,18,0
"Burlington Township, Precinct 1",251182000001,120,21,0
"Clarence Township, Precinct 1",251596000001,139,26,0
"Clarendon Township, Precinct 1",251602000001,53,10,0
"Convis Township, Precinct 1",251788000001,108,17,1
"Eckford Township, Precinct 1",252470000001,94,26,0
"Emmett Township, Precinct 1",252593500001,142,31,0
"Emmett Township, Precinct 2",252593500002,272,39,1
"Emmett Township, Precinct 3",252593500003,206,45,1
"Emmett Township, Precinct 4",252593500004,356,74,1
"Fredonia Township, Precinct 1",253050000001,143,29,0
"Homer Township, Precinct 1",253894000001,124,30,1
"Lee Township, Precinct 1",254662000001,60,11,0
"Leroy Township, Precinct 1",254706000001,422,68,0
