name,id,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
"City of Albion, Precinct 1",250098000001,7,14,6,1,1
"City of Albion, Precinct 2",250098000002,0,11,9,0,0
"City of Albion, Precinct 3",250098000003,13,37,17,2,0
"City of Albion, Precinct 4",250098000004,10,29,14,2,0
"City of Albion, Precinct 5",250098000005,9,27,24,1,1
"City of Albion, Precinct 6",250098000006,7,16,14,1,0
"City of Battle Creek, Precinct 1",250592003001,7,25,21,1,1
"City of Battle Creek, Precinct 2",250592004002,23,60,53,6,0
"City of Battle Creek, Precinct 3",250592005003,36,145,65,2,2
"City of Battle Creek, Precinct 4",250592001004,15,95,90,2,0
"City of Battle Creek, Precinct 5",250592005005,38,291,127,23,0
"City of Battle Creek, Precinct 6",250592004006,34,122,95,3,0
"City of Battle Creek, Precinct 7",250592002007,10,30,19,1,1
"City of Battle Creek, Precinct 8",250592004008,41,161,96,3,0
"City of Battle Creek, Precinct 9",250592003009,9,52,19,0,0
"City of Battle Creek, Precinct 10",250592003010,23,138,70,7,1
"City of Battle Creek, Precinct 11",250592005011,24,84,48,7,0
"City of Battle Creek, Precinct 12",250592002012,12,34,29,3,0
"City of Battle Creek, Precinct 13",250592001013,33,127,85,12,0
"City of Marshall, Precinct 1",255194000001,25,141,85,16,0
"City of Marshall, Precinct 2",255194000002,46,152,98,4,0
"City of Springfield, Precinct 1",257570000001,28,121,76,2,0
"Albion Township, Precinct 1",250100000001,12,73,59,6,0
"Athens Township, Precinct 1",250390000001,28,155,77,10,0
"Bedford Township, Precinct 1",250672000001,49,167,118,13,0
"Bedford Township, Precinct 2",250672000002,26,120,104,6,0
"Bedford Township, Precinct 3",250672000003,33,121,105,7,0
"Leroy Township, Precinct 1",254706000001,92,331,227,12,1
"Marengo Township, Precinct 1",255152000001,37,152,69,5,0
"Marshall Township, Precinct 1",255196000001,49,223,154,9,0
"Newton Township, Precinct 1",255762000001,46,255,173,14,3
"Pennfield Township, Precinct 2",256344000002,76,199,112,7,0
"Pennfield Township, Precinct 3",256344000003,91,301,178,20,3
"Sheridan Township, Precinct 1",257298000001,14,74,52,2,0
"Tekonsha Township, Precinct 1",257918000001,17,84,64,8,0
"Burlington Township, Precinct 1",251182000001,38,88,90,4,1
"Clarence Township, Precinct 1",251596000001,42,108,127,3,0
"Clarendon Township, Precinct 1",251602000001,21,73,46,1,1
"Convis Township, Precinct 1",251788000001,10,91,72,4,0
"Eckford Township, Precinct 1",252470000001,32,110,96,6,0
"Emmett Township, Precinct 1",252593500001,24,88,49,4,1
"Emmett Township, Precinct 2",252593500002,49,203,123,4,2
"Emmett Township, Precinct 3",252593500003,27,100,73,11,1
"Emmett Township, Precinct 4",252593500004,67,266,189,19,1
"Fredonia Township, Precinct 1",253050000001,44,120,79,4,0
"Homer Township, Precinct 1",253894000001,41,132,108,3,2
"Lee Township, Precinct 1",254662000001,17,72,53,1,1
