id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
290600000001,"Bay Township, Precinct 1",209,20,0
290986000002,"Boyne Valley Township, Precinct 2",135,19,1
291456000003,"Chandler Township, Precinct 3",25,5,0
291480000004,"Charlevoix Township, Precinct 4",298,36,0
292658000005,"Evangeline Township, Precinct 5",110,11,0
292668000006,"Eveline Township, Precinct 6",227,37,0
293732000007,"Hayes Township, Precinct 7",310,29,0
293970000008,"Hudson Township, Precinct 8",48,13,0
295162000009,"Marion Township, Precinct 9",216,26,1
295288000010,"Melrose Township, Precinct 10",185,22,1
295934000011,"Norwood Township, Precinct 11",134,15,0
296314000012,"Peaine Township, Precinct 12",65,10,0
297092000013,"St. James Township, Precinct 13",66,9,0
297468000014,"South Arm Township, Precinct 14",199,22,1
298770000015,"Wilson Township, Precinct 15",193,35,2
290982000016,"City of Boyne City, Precinct 16",549,68,3
291478001018,"City of Charlevoix, Ward 1, Precinct 18",201,23,0
291478002019,"City of Charlevoix, Ward 2, Precinct 19",135,29,0
291478003020,"City of Charlevoix, Ward 3, Precinct 20",105,18,0
292402000021,"City of East Jordan, Precinct 21",154,35,1
