id,name,board,Mike Cox,John James,Perry Johnson,Aric Nesbitt,registered,ballots,over_votes,under_votes,total,turnout,Write-in
337174000001,"City of Sault Ste. Marie, Precinct 1",,54,131,84,5,3811,849,0,0,274,22.28,0
337174000002,"City of Sault Ste. Marie, Precinct 2",,38,179,99,5,3383,786,0,0,321,23.23,0
337174000003,"City of Sault Ste. Marie, Precinct 3",,53,156,95,8,3058,796,0,0,312,26.03,2
330607000001,"Bay Mills Township, Precinct 1",,16,54,37,3,1386,354,0,0,110,25.54,2
331128000001,"Bruce Township, Precinct 1",,45,112,131,5,1843,547,0,0,293,29.68,1
331556000001,"Chippewa Township, Precinct 1",,3,15,8,2,186,45,0,0,28,24.19,0
331954000001,"Dafter Township, Precinct 1",,23,80,61,5,1068,285,0,0,169,26.69,0
332177000001,"DeTour Township, Precinct 1",,29,71,75,3,722,321,0,0,178,44.46,0
332308000001,"Drummond Island Township, Precinct 1",,37,110,102,4,1116,423,0,0,253,37.90,1
333986000001,"Hulbert Township, Precinct 1",,1,17,10,0,150,46,0,0,28,30.67,0
334348000001,"Kinross Township, Precinct 1",,46,138,127,6,2826,589,0,0,317,20.84,2
336398000001,"Pickford Township, Precinct 1",,44,110,134,6,1421,436,0,0,294,30.68,0
336676000001,"Raber Township, Precinct 1",,19,41,55,0,599,223,0,0,115,37.23,0
337022000001,"Rudyard Township, Precinct 1",,29,99,103,1,1145,345,0,0,232,30.13,1
337462000001,"Soo Township, Precinct 1",,76,248,190,9,2811,945,0,0,523,33.62,2
337702000001,"Sugar Island Township, Precinct 1",,20,63,44,3,704,250,0,0,130,35.51,1
337754000001,"Superior Township, Precinct 1",,20,74,73,0,1150,316,0,0,167,27.48,0
338060000001,"Trout Lake Township, Precinct 1",,8,32,34,1,346,117,0,0,75,33.82,0
338670000001,"Whitefish Township, Precinct 1",,32,52,37,5,575,237,0,0,126,41.22,0
