id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
351592000001,"City of Clare, Precinct 1",221,133,0
353680000001,"City of Harrison, Precinct 1",133,42,0
350362000001,"Arthur Township, Precinct 1",19,16,0
353028000001,"Franklin Township, Precinct 1",45,21,0
353056000001,"Freeman Township, Precinct 1",142,33,0
353090000001,"Frost Township, Precinct 1",69,27,0
353156000001,"Garfield Township, Precinct 1",189,38,1
353422000001,"Grant Township, Precinct 1",208,94,1
353512000001,"Greenwood Township, Precinct 1",66,19,1
353614000001,"Hamilton Township, Precinct 1",99,47,0
353716000001,"Hatton Township, Precinct 1",55,22,0
353734000001,"Hayes Township, Precinct 1",148,39,1
353734000002,"Hayes Township, Precinct 2",164,51,0
354762000001,"Lincoln Township, Precinct 1",150,52,0
356760000001,"Redding Township, Precinct 1",24,3,0
357300000001,"Sheridan Township, Precinct 1",44,38,0
357712000001,"Summerfield Township, Precinct 1",29,7,0
357758000001,"Surrey Township, Precinct 1",256,78,1
358798000001,"Winterfield Township, Precinct 1",36,2,0
