id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
351592000001,"City of Clare, Precinct 1",21,95,57,0,0
353680000001,"City of Harrison, Precinct 1",25,111,74,2,0
350362000001,"Arthur Township, Precinct 1",16,51,46,2,0
353028000001,"Franklin Township, Precinct 1",19,56,43,1,0
353056000001,"Freeman Township, Precinct 1",27,86,75,2,0
353090000001,"Frost Township, Precinct 1",25,79,67,1,1
353156000001,"Garfield Township, Precinct 1",39,101,132,5,0
353422000001,"Grant Township, Precinct 1",39,252,155,7,2
353512000001,"Greenwood Township, Precinct 1",35,80,62,2,0
353614000001,"Hamilton Township, Precinct 1",28,143,139,2,1
353716000001,"Hatton Township, Precinct 1",14,74,68,3,0
353734000001,"Hayes Township, Precinct 1",57,104,103,3,2
353734000002,"Hayes Township, Precinct 2",51,129,96,4,4
354762000001,"Lincoln Township, Precinct 1",12,83,63,2,2
356760000001,"Redding Township, Precinct 1",17,26,38,4,0
357300000001,"Sheridan Township, Precinct 1",17,86,68,5,0
357712000001,"Summerfield Township, Precinct 1",8,27,30,2,1
357758000001,"Surrey Township, Precinct 1",20,86,76,2,0
358798000001,"Winterfield Township, Precinct 1",7,33,37,2,0
