id,name,Mike Rogers,Write-in
351592000001,"City of Clare, Precinct 1",279,3
353680000001,"City of Harrison, Precinct 1",197,1
350362000001,"Arthur Township, Precinct 1",103,0
353028000001,"Franklin Township, Precinct 1",116,0
353056000001,"Freeman Township, Precinct 1",184,1
353090000001,"Frost Township, Precinct 1",158,1
353156000001,"Garfield Township, Precinct 1",272,0
353422000001,"Grant Township, Precinct 1",429,0
353512000001,"Greenwood Township, Precinct 1",180,0
353614000001,"Hamilton Township, Precinct 1",301,0
353716000001,"Hatton Township, Precinct 1",146,0
353734000001,"Hayes Township, Precinct 1",245,1
353734000002,"Hayes Township, Precinct 2",273,4
354762000001,"Lincoln Township, Precinct 1",272,2
356760000001,"Redding Township, Precinct 1",76,1
357300000001,"Sheridan Township, Precinct 1",164,0
357712000001,"Summerfield Township, Precinct 1",64,1
357758000001,"Surrey Township, Precinct 1",418,2
358798000001,"Winterfield Township, Precinct 1",78,0
