name,id,Bridget Brink,William Lawrence,Matt Maasdam
"Bath Charter Township, Precinct 1",370590000001,106,148,92
"Bath Charter Township, Precinct 2",370590000002,111,236,108
"Bath Charter Township, Precinct 3",370590000003,85,146,116
"Bath Charter Township, Precinct 4",370590000004,232,284,221
"Bath Charter Township, Precinct 5",370590000005,113,143,107
"Bengal Township, Precinct 1",370724000001,28,62,58
"Bingham Township, Precinct 1",370840000001,148,117,158
"Dallas Township, Precinct 1",371962000001,43,54,52
"City of DeWitt, Precinct 1",372212000001,204,489,387
"DeWitt Charter Township, Precinct 1",372214000001,148,285,180
"DeWitt Charter Township, Precinct 2",372214000002,116,159,110
"DeWitt Charter Township, Precinct 3",372214000003,158,208,173
"DeWitt Charter Township, Precinct 4",372214000004,65,122,94
"DeWitt Charter Township, Precinct 5",372214000005,104,240,112
"DeWitt Charter Township, Precinct 6",372214000006,78,95,94
"DeWitt Charter Township, Precinct 7",372214000007,114,198,101
"Duplain Township, Precinct 1",372346000001,62,78,74
"Eagle Township, Precinct 1",372358000001,138,143,186
"City of East Lansing, Precinct 8",372412000008,123,309,110
"Essex Township, Precinct 1",372640000001,41,51,57
"Greenbush Township, Precinct 1",373484000001,83,84,106
"Lebanon Township, Precinct 1",374658000001,21,6,10
"Olive Township, Precinct 1",376044000001,106,132,169
"City of Ovid, Precinct 1",376186000001,30,33,39
"Ovid Township, Precinct 1",376188000001,84,96,97
"Riley Township, Precinct 1",376860000001,71,89,93
"City of St. Johns, Precinct 1",377094000001,231,305,236
"City of St. Johns, Precinct 2",377094000002,126,149,118
"Victor Township, Precinct 1",378232000001,147,244,237
"Watertown Charter Township, Precinct 1",378440000001,142,140,180
"Watertown Charter Township, Precinct 2",378440000002,150,264,194
"Westphalia Township, Precinct 1",378614000001,23,39,64
