name,id,Tom Barrett
"Bath Charter Township, Precinct 1",370590000001,202
"Bath Charter Township, Precinct 2",370590000002,150
"Bath Charter Township, Precinct 3",370590000003,225
"Bath Charter Township, Precinct 4",370590000004,269
"Bath Charter Township, Precinct 5",370590000005,154
"Bengal Township, Precinct 1",370724000001,180
"Bingham Township, Precinct 1",370840000001,420
"Dallas Township, Precinct 1",371962000001,407
"City of DeWitt, Precinct 1",372212000001,421
"DeWitt Charter Township, Precinct 1",372214000001,250
"DeWitt Charter Township, Precinct 2",372214000002,177
"DeWitt Charter Township, Precinct 3",372214000003,254
"DeWitt Charter Township, Precinct 4",372214000004,168
"DeWitt Charter Township, Precinct 5",372214000005,182
"DeWitt Charter Township, Precinct 6",372214000006,143
"DeWitt Charter Township, Precinct 7",372214000007,183
"Duplain Township, Precinct 1",372346000001,247
"Eagle Township, Precinct 1",372358000001,328
"City of East Lansing, Precinct 8",372412000008,82
"Essex Township, Precinct 1",372640000001,248
"Greenbush Township, Precinct 1",373484000001,378
"Lebanon Township, Precinct 1",374658000001,84
"Olive Township, Precinct 1",376044000001,383
"City of Ovid, Precinct 1",376186000001,75
"Ovid Township, Precinct 1",376188000001,290
"Riley Township, Precinct 1",376860000001,283
"City of St. Johns, Precinct 1",377094000001,497
"City of St. Johns, Precinct 2",377094000002,283
"Victor Township, Precinct 1",378232000001,460
"Watertown Charter Township, Precinct 1",378440000001,329
"Watertown Charter Township, Precinct 2",378440000002,340
"Westphalia Township, Precinct 1",378614000001,396
