id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
412636000001,"City of Escanaba, Precinct 1",321,45,3
412636000002,"City of Escanaba, Precinct 2",381,61,0
412636000003,"City of Escanaba, Precinct 3",383,62,1
412636000004,"City of Escanaba, Precinct 4",177,31,0
413230000001,"City of Gladstone, Precinct 1",294,39,0
413230000002,"City of Gladstone, Precinct 2",261,45,1
410490000001,"Baldwin Township, Precinct 1",60,10,0
410542000001,"Bark River Township, Precinct 1",95,14,1
410604000001,"Bay de Noc Township, Precinct 1",51,4,0
410998000001,"Brampton Township, Precinct 1",123,12,0
411828000001,"Cornell Township, Precinct 1",49,11,0
412614000001,"Ensign Township, Precinct 1",91,16,0
412638000001,"Escanaba Township, Precinct 1",205,30,0
412638000002,"Escanaba Township, Precinct 2",139,24,0
412696000001,"Fairbanks Township, Precinct 1",45,4,0
412938000001,"Ford River Township, Precinct 1",233,35,0
413140000001,"Garden Township, Precinct 1",105,13,0
415126000001,"Maple Ridge Township, Precinct 1",58,7,0
415222000001,"Masonville Township, Precinct 1",152,29,0
415650000001,"Nahma Township, Precinct 1",36,15,0
418524000001,"Wells Township, Precinct 1",469,65,2
