id,name,Mike Cox,John James,Perry Johnson,Aric Nesbitt,Write-in
412636000001,"City of Escanaba, Precinct 1",61,145,95,7,1
412636000002,"City of Escanaba, Precinct 2",50,204,220,5,0
412636000003,"City of Escanaba, Precinct 3",51,159,179,10,2
412636000004,"City of Escanaba, Precinct 4",28,61,72,8,2
413230000001,"City of Gladstone, Precinct 1",51,115,120,7,0
413230000002,"City of Gladstone, Precinct 2",50,187,181,7,0
410490000001,"Baldwin Township, Precinct 1",18,67,72,5,1
410542000001,"Bark River Township, Precinct 1",34,123,124,4,0
410604000001,"Bay de Noc Township, Precinct 1",7,37,27,5,0
410998000001,"Brampton Township, Precinct 1",29,111,71,4,0
411828000001,"Cornell Township, Precinct 1",10,46,39,1,0
412614000001,"Ensign Township, Precinct 1",22,75,75,8,0
412638000001,"Escanaba Township, Precinct 1",65,198,175,4,3
412638000002,"Escanaba Township, Precinct 2",31,112,101,4,1
412696000001,"Fairbanks Township, Precinct 1",11,31,34,0,1
412938000001,"Ford River Township, Precinct 1",52,152,163,4,1
413140000001,"Garden Township, Precinct 1",13,60,61,0,1
415126000001,"Maple Ridge Township, Precinct 1",21,51,84,5,3
415222000001,"Masonville Township, Precinct 1",21,153,128,5,1
415650000001,"Nahma Township, Precinct 1",17,46,42,3,0
418524000001,"Wells Township, Precinct 1",101,375,314,12,2
