id,name,Jack Bergman,Matthew DenOtter,Justin Michal,Write-in
412636000001,"City of Escanaba, Precinct 1",221,34,55,2
412636000002,"City of Escanaba, Precinct 2",355,51,67,0
412636000003,"City of Escanaba, Precinct 3",295,36,79,1
412636000004,"City of Escanaba, Precinct 4",120,16,34,2
413230000001,"City of Gladstone, Precinct 1",212,39,43,0
413230000002,"City of Gladstone, Precinct 2",303,48,68,1
410490000001,"Baldwin Township, Precinct 1",121,26,19,0
410542000001,"Bark River Township, Precinct 1",191,30,63,0
410604000001,"Bay de Noc Township, Precinct 1",61,8,8,0
410998000001,"Brampton Township, Precinct 1",149,35,29,1
411828000001,"Cornell Township, Precinct 1",63,19,18,0
412614000001,"Ensign Township, Precinct 1",130,24,24,0
412638000001,"Escanaba Township, Precinct 1",322,72,46,1
412638000002,"Escanaba Township, Precinct 2",177,33,39,0
412696000001,"Fairbanks Township, Precinct 1",65,4,7,0
412938000001,"Ford River Township, Precinct 1",232,45,89,1
413140000001,"Garden Township, Precinct 1",109,12,13,0
415126000001,"Maple Ridge Township, Precinct 1",126,17,22,0
415222000001,"Masonville Township, Precinct 1",245,30,31,1
415650000001,"Nahma Township, Precinct 1",83,15,10,0
418524000001,"Wells Township, Precinct 1",577,69,154,1
