id,name,ballots,registered,turnout
412636000001,"City of Escanaba, Precinct 1",716.0,2888,24.79
412636000002,"City of Escanaba, Precinct 2",967.0,2417,40.01
412636000003,"City of Escanaba, Precinct 3",925.0,3158,29.29
412636000004,"City of Escanaba, Precinct 4",413.0,1778,23.23
413230000001,"City of Gladstone, Precinct 1",667.0,2226,29.96
413230000002,"City of Gladstone, Precinct 2",774.0,2366,32.71
410490000001,"Baldwin Township, Precinct 1",242.0,655,36.95
410542000001,"Bark River Township, Precinct 1",407.0,1432,28.42
410604000001,"Bay de Noc Township, Precinct 1",145.0,345,42.03
410998000001,"Brampton Township, Precinct 1",364.0,1006,36.18
411828000001,"Cornell Township, Precinct 1",169.0,512,33.01
412614000001,"Ensign Township, Precinct 1",303.0,745,40.67
412638000001,"Escanaba Township, Precinct 1",709.0,2061,34.4
412638000002,"Escanaba Township, Precinct 2",438.0,1144,38.29
412696000001,"Fairbanks Township, Precinct 1",133.0,307,43.32
412938000001,"Ford River Township, Precinct 1",670.0,1936,34.61
413140000001,"Garden Township, Precinct 1",269.0,748,35.96
415126000001,"Maple Ridge Township, Precinct 1",240.0,701,34.24
415222000001,"Masonville Township, Precinct 1",506.0,1626,31.12
415650000001,"Nahma Township, Precinct 1",174.0,516,33.72
418524000001,"Wells Township, Precinct 1",1431.0,4337,33.0
