id,name,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in
412636000001,"City of Escanaba, Precinct 1",120,7,48,1
412636000002,"City of Escanaba, Precinct 2",78,13,50,0
412636000003,"City of Escanaba, Precinct 3",109,11,52,0
412636000004,"City of Escanaba, Precinct 4",49,8,20,0
413230000001,"City of Gladstone, Precinct 1",89,13,46,1
413230000002,"City of Gladstone, Precinct 2",59,4,50,1
410490000001,"Baldwin Township, Precinct 1",34,9,26,0
410542000001,"Bark River Township, Precinct 1",56,5,48,0
410604000001,"Bay de Noc Township, Precinct 1",22,5,28,0
410998000001,"Brampton Township, Precinct 1",52,21,58,0
411828000001,"Cornell Township, Precinct 1",23,5,31,0
412614000001,"Ensign Township, Precinct 1",53,12,44,0
412638000001,"Escanaba Township, Precinct 1",36,10,26,0
412638000002,"Escanaba Township, Precinct 2",27,4,23,0
412696000001,"Fairbanks Township, Precinct 1",15,4,30,0
412938000001,"Ford River Township, Precinct 1",56,7,43,0
413140000001,"Garden Township, Precinct 1",37,12,66,0
415126000001,"Maple Ridge Township, Precinct 1",21,5,38,0
415222000001,"Masonville Township, Precinct 1",85,22,64,0
415650000001,"Nahma Township, Precinct 1",22,4,23,0
418524000001,"Wells Township, Precinct 1",88,7,82,0
