id,name,Mike Rogers,Write-in
412636000001,"City of Escanaba, Precinct 1",296,2
412636000002,"City of Escanaba, Precinct 2",446,0
412636000003,"City of Escanaba, Precinct 3",382,5
412636000004,"City of Escanaba, Precinct 4",160,1
413230000001,"City of Gladstone, Precinct 1",273,1
413230000002,"City of Gladstone, Precinct 2",403,0
410490000001,"Baldwin Township, Precinct 1",158,0
410542000001,"Bark River Township, Precinct 1",264,3
410604000001,"Bay de Noc Township, Precinct 1",72,0
410998000001,"Brampton Township, Precinct 1",203,2
411828000001,"Cornell Township, Precinct 1",91,0
412614000001,"Ensign Township, Precinct 1",162,0
412638000001,"Escanaba Township, Precinct 1",416,1
412638000002,"Escanaba Township, Precinct 2",229,0
412696000001,"Fairbanks Township, Precinct 1",70,0
412938000001,"Ford River Township, Precinct 1",347,3
413140000001,"Garden Township, Precinct 1",130,1
415126000001,"Maple Ridge Township, Precinct 1",158,0
415222000001,"Masonville Township, Precinct 1",288,3
415650000001,"Nahma Township, Precinct 1",102,0
418524000001,"Wells Township, Precinct 1",752,4
