id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt
450708000001,"Bellevue Township, Precinct 1",135,,,0,29,59,45,2
450744000001,"Benton Charter Township, Precinct 1",174,,,0,15,72,80,7
451092000001,"Brookfield Township, Precinct 1",72,,,0,4,25,37,6
451338000001,"Carmel Township, Precinct 1",183,,,0,42,76,62,3
451526000001,"Chester Township, Precinct 1",109,,,0,26,43,37,3
452152000001,"Delta Charter Township, Precinct 1",140,,,0,33,72,32,3
452152000002,"Delta Charter Township, Precinct 2",216,,,0,37,126,52,1
452152000004,"Delta Charter Township, Precinct 4",88,,,0,20,47,20,1
452152000005,"Delta Charter Township, Precinct 5",286,,,0,64,144,75,3
452152000006,"Delta Charter Township, Precinct 6",131,,,0,22,69,38,2
452152000007,"Delta Charter Township, Precinct 7",109,,,0,25,55,26,3
452152000008,"Delta Charter Township, Precinct 8",72,,,0,11,38,23,0
452152000014,"Delta Charter Township, Precinct 14",146,,,0,30,71,44,1
452152000015,"Delta Charter Township, Precinct 15",280,,,0,57,148,72,3
452152000016,"Delta Charter Township, Precinct 16",249,,,0,44,128,72,5
452452000001,"Eaton Township, Precinct 1",271,,,0,56,125,84,6
452456000001,"Eaton Rapids Township, Precinct 1",252,,,0,53,102,95,2
453620000001,"Hamlin Township, Precinct 1",140,,,0,27,52,59,2
454222000001,"Kalamo Township, Precinct 1",40,,,0,8,15,16,1
454222000002,"Kalamo Township, Precinct 2",45,,,0,9,15,20,1
456070000001,"Oneida Charter Township, Precinct 1",319,,,0,74,149,89,7
457002000001,"Roxand Township, Precinct 1",77,,,0,11,32,31,3
457744000001,"Sunfield Township, Precinct 1",101,,,0,17,36,42,6
458198000001,"Vermontville Township, Precinct 1",0,,,0,0,0,0,0
458318000001,"Walton Township, Precinct 1",80,,,0,22,28,27,3
458784000001,"Windsor Charter Township, Precinct 1",217,,,0,25,93,98,1
458784000002,"Windsor Charter Township, Precinct 2",263,,,0,54,118,87,4
451482001001,"City of Charlotte, District 1, Precinct 1",170,,,0,47,65,57,1
451482002001,"City of Charlotte, District 2, Precinct 1",212,,,0,49,87,74,2
452454000001,"City of Eaton Rapids, Precinct 1",40,,,0,7,24,9,0
452454000002,"City of Eaton Rapids, Precinct 2",39,,,0,9,17,12,1
452454000003,"City of Eaton Rapids, Precinct 3",56,,,0,17,22,15,2
453342000001,"City of Grand Ledge, Precinct 1",77,,,0,14,34,25,4
453342000002,"City of Grand Ledge, Precinct 2",100,,,0,15,51,31,3
453342000003,"City of Grand Ledge, Precinct 3",85,,,0,16,39,30,0
453342000004,"City of Grand Ledge, Precinct 4",100,,,0,26,49,24,1
456058000001,"City of Olivet, Precinct 1",0,,,0,0,0,0,0
456610000001,"City of Potterville, Precinct 1",81,,,0,15,41,22,3
454600003022,"City of Lansing, Ward 3, Precinct 22",33,,,0,10,6,16,1
