id,name,total,over_votes,under_votes,Write-in,Tom Barrett
450708000001,"Bellevue Township, Precinct 1",131,,,0,131
450744000001,"Benton Charter Township, Precinct 1",170,,,0,170
451092000001,"Brookfield Township, Precinct 1",73,,,0,73
451338000001,"Carmel Township, Precinct 1",190,,,0,190
451526000001,"Chester Township, Precinct 1",111,,,0,111
452152000001,"Delta Charter Township, Precinct 1",134,,,0,134
452152000002,"Delta Charter Township, Precinct 2",205,,,0,205
452152000004,"Delta Charter Township, Precinct 4",82,,,0,82
452152000005,"Delta Charter Township, Precinct 5",281,,,0,281
452152000006,"Delta Charter Township, Precinct 6",135,,,0,135
452152000007,"Delta Charter Township, Precinct 7",116,,,0,116
452152000008,"Delta Charter Township, Precinct 8",72,,,0,72
452152000014,"Delta Charter Township, Precinct 14",149,,,0,149
452152000015,"Delta Charter Township, Precinct 15",279,,,0,279
452152000016,"Delta Charter Township, Precinct 16",245,,,0,245
452452000001,"Eaton Township, Precinct 1",275,,,0,275
452456000001,"Eaton Rapids Township, Precinct 1",228,,,0,228
453620000001,"Hamlin Township, Precinct 1",130,,,0,130
454222000002,"Kalamo Township, Precinct 2",53,,,0,53
456070000001,"Oneida Charter Township, Precinct 1",306,,,0,306
457002000001,"Roxand Township, Precinct 1",79,,,0,79
458318000001,"Walton Township, Precinct 1",88,,,0,88
458784000001,"Windsor Charter Township, Precinct 1",215,,,0,215
458784000002,"Windsor Charter Township, Precinct 2",246,,,0,246
451482001001,"City of Charlotte, District 1, Precinct 1",170,,,0,170
451482002001,"City of Charlotte, District 2, Precinct 1",215,,,0,215
452454000001,"City of Eaton Rapids, Precinct 1",38,,,0,38
452454000002,"City of Eaton Rapids, Precinct 2",39,,,0,39
452454000003,"City of Eaton Rapids, Precinct 3",56,,,0,56
453342000001,"City of Grand Ledge, Precinct 1",74,,,0,74
453342000002,"City of Grand Ledge, Precinct 2",92,,,0,92
453342000003,"City of Grand Ledge, Precinct 3",78,,,0,78
453342000004,"City of Grand Ledge, Precinct 4",96,,,0,96
456058000001,"City of Olivet, Precinct 1",0,,,0,0
456610000001,"City of Potterville, Precinct 1",78,,,0,78
454600003022,"City of Lansing, Ward 3, Precinct 22",30,,,0,30
