id,name,ballots,registered,turnout
450708000001,"Bellevue Township, Precinct 1",601,2545,23.61
450744000001,"Benton Charter Township, Precinct 1",828,2323,35.64
451092000001,"Brookfield Township, Precinct 1",325,1214,26.77
451338000001,"Carmel Township, Precinct 1",892,2287,39.00
451526000001,"Chester Township, Precinct 1",537,1293,41.53
452152000001,"Delta Charter Township, Precinct 1",777,1523,51.02
452152000002,"Delta Charter Township, Precinct 2",1196,2635,45.39
452152000004,"Delta Charter Township, Precinct 4",523,1453,35.99
452152000005,"Delta Charter Township, Precinct 5",1637,3412,47.98
452152000006,"Delta Charter Township, Precinct 6",1198,3500,34.23
452152000007,"Delta Charter Township, Precinct 7",839,1889,44.42
452152000008,"Delta Charter Township, Precinct 8",721,2049,35.19
452152000014,"Delta Charter Township, Precinct 14",900,2212,40.69
452152000015,"Delta Charter Township, Precinct 15",1395,3506,39.79
452152000016,"Delta Charter Township, Precinct 16",1731,3850,44.96
452452000001,"Eaton Township, Precinct 1",1266,3274,38.67
452456000001,"Eaton Rapids Township, Precinct 1",1142,3260,35.03
453620000001,"Hamlin Township, Precinct 1",901,2657,33.91
454222000001,"Kalamo Township, Precinct 1",182,634,28.71
454222000002,"Kalamo Township, Precinct 2",221,751,29.43
456070000001,"Oneida Charter Township, Precinct 1",1360,3179,42.78
457002000001,"Roxand Township, Precinct 1",481,1451,33.15
457744000001,"Sunfield Township, Precinct 1",541,1661,32.57
458198000001,"Vermontville Township, Precinct 1",453,1483,30.55
458318000001,"Walton Township, Precinct 1",447,1782,25.08
458784000001,"Windsor Charter Township, Precinct 1",915,2274,40.24
458784000002,"Windsor Charter Township, Precinct 2",1585,3821,41.48
451482001001,"City of Charlotte, District 1, Precinct 1",972,3384,28.72
451482002001,"City of Charlotte, District 2, Precinct 1",1041,3420,30.44
452454000001,"City of Eaton Rapids, Precinct 1",273,1314,20.78
452454000002,"City of Eaton Rapids, Precinct 2",307,1381,22.23
452454000003,"City of Eaton Rapids, Precinct 3",409,1387,29.49
453342000001,"City of Grand Ledge, Precinct 1",687,1961,35.03
453342000002,"City of Grand Ledge, Precinct 2",642,1965,32.67
453342000003,"City of Grand Ledge, Precinct 3",524,1271,41.23
453342000004,"City of Grand Ledge, Precinct 4",515,1139,45.22
456058000001,"City of Olivet, Precinct 1",165,719,22.95
456610000001,"City of Potterville, Precinct 1",567,2236,25.36
454600003022,"City of Lansing, Ward 3, Precinct 22",639,2761,23.14
