id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson,WI
470638000001,"Bear Creek Township, Precinct 1",165,,,0,139,25,1
470638000002,"Bear Creek Township, Precinct 2",165,,,0,129,36,0
470898000001,"Bliss Township, Precinct 1",103,,,0,76,27,0
471350000001,"Carp Lake Township, Precinct 1",98,,,0,78,20,0
471430000001,"Center Township, Precinct 1",84,,,0,68,16,0
471890000001,"Cross Village Township, Precinct 1",69,,,0,62,7,0
473086000001,"Friendship Township, Precinct 1",160,,,0,144,14,2
473656000001,"City of Harbor Springs, Precinct 1",255,,,0,227,28,0
474808000001,"Little Traverse Township, Precinct 1",176,,,0,141,33,2
474802000001,"Littlefield Township, Precinct 1",335,,,0,284,51,0
475128000001,"Maple River Township, Precinct 1",131,,,0,121,10,0
475034000001,"McKinley Township, Precinct 1",102,,,0,88,13,1
476382001001,"City of Petoskey, Ward 1, Precinct 1",73,,,0,64,9,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",156,,,0,133,23,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",93,,,0,74,19,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",125,,,0,98,27,0
476496000001,"Pleasantview Township, Precinct 1",54,,,0,40,13,1
476754000001,"Readmond Township, Precinct 1",131,,,0,113,16,2
476806000001,"Resort Township, Precinct 1",520,,,0,460,60,0
477590000001,"Springvale Township, Precinct 1",309,,,0,272,35,2
478484000001,"Wawatam Township, Precinct 1",105,,,0,92,11,2
478630000001,"West Traverse Township, Precinct 1",146,,,0,130,16,0
