id,name,total,over_votes,under_votes,Write-in,Mike Cox,John James,Perry Johnson,Aric Nesbitt,WI
470638000001,"Bear Creek Township, Precinct 1",142,,,0,16,70,55,0,1
470638000002,"Bear Creek Township, Precinct 2",228,,,0,19,131,76,2,0
470898000001,"Bliss Township, Precinct 1",106,,,0,16,59,28,2,1
471350000001,"Carp Lake Township, Precinct 1",111,,,0,14,47,47,1,2
471430000001,"Center Township, Precinct 1",83,,,0,8,41,33,1,0
471890000001,"Cross Village Township, Precinct 1",52,,,0,10,29,13,0,0
473086000001,"Friendship Township, Precinct 1",146,,,0,20,86,40,0,0
473656000001,"City of Harbor Springs, Precinct 1",215,,,0,32,125,52,3,3
474808000001,"Little Traverse Township, Precinct 1",200,,,0,23,97,75,3,2
474802000001,"Littlefield Township, Precinct 1",311,,,0,28,158,120,5,0
475128000001,"Maple River Township, Precinct 1",185,,,0,23,81,80,1,0
475034000001,"McKinley Township, Precinct 1",170,,,0,18,74,74,3,1
476382001001,"City of Petoskey, Ward 1, Precinct 1",46,,,0,5,30,9,0,2
476382002002,"City of Petoskey, Ward 2, Precinct 1",61,,,0,3,28,25,4,1
476382003003,"City of Petoskey, Ward 3, Precinct 1",68,,,0,7,35,25,1,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",53,,,0,2,33,17,1,0
476496000001,"Pleasantview Township, Precinct 1",64,,,0,7,35,19,1,2
476754000001,"Readmond Township, Precinct 1",103,,,0,22,50,30,1,0
476806000001,"Resort Township, Precinct 1",514,,,0,91,277,136,10,0
477590000001,"Springvale Township, Precinct 1",333,,,0,30,171,125,7,0
478484000001,"Wawatam Township, Precinct 1",110,,,0,12,60,36,2,0
478630000001,"West Traverse Township, Precinct 1",193,,,0,21,127,45,0,0
