id,name,total,over_votes,under_votes,Write-in,Jack Bergman,Matthew DenOtter,Justin Michal,WI
470638000001,"Bear Creek Township, Precinct 1",415,,,0,304,47,64,0
470638000002,"Bear Creek Township, Precinct 2",531,,,0,404,67,58,2
470898000001,"Bliss Township, Precinct 1",101,,,0,75,17,9,0
471350000001,"Carp Lake Township, Precinct 1",113,,,0,80,12,21,0
471430000001,"Center Township, Precinct 1",81,,,0,59,13,9,0
471890000001,"Cross Village Township, Precinct 1",54,,,0,48,1,5,0
473086000001,"Friendship Township, Precinct 1",150,,,0,106,29,15,0
473656000001,"City of Harbor Springs, Precinct 1",221,,,0,178,23,19,1
474808000001,"Little Traverse Township, Precinct 1",399,,,0,284,55,59,1
474802000001,"Littlefield Township, Precinct 1",327,,,0,244,30,53,0
475128000001,"Maple River Township, Precinct 1",187,,,0,127,30,30,0
475034000001,"McKinley Township, Precinct 1",170,,,0,111,26,33,0
476382001001,"City of Petoskey, Ward 1, Precinct 1",102,,,0,79,6,17,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",133,,,0,92,24,17,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",227,,,0,174,20,33,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",106,,,0,76,23,7,0
476496000001,"Pleasantview Township, Precinct 1",147,,,0,120,9,18,0
476754000001,"Readmond Township, Precinct 1",111,,,0,89,9,13,0
476806000001,"Resort Township, Precinct 1",518,,,0,414,60,44,0
477590000001,"Springvale Township, Precinct 1",335,,,0,236,53,46,0
478484000001,"Wawatam Township, Precinct 1",107,,,0,82,12,12,1
478630000001,"West Traverse Township, Precinct 1",400,,,0,328,38,34,0
