id,name,ballots,registered,turnout
470638000001,"Bear Creek Township, Precinct 1",1000,2734,36.58
470638000002,"Bear Creek Township, Precinct 2",1128,3169,35.59
470898000001,"Bliss Township, Precinct 1",214,541,39.56
471350000001,"Carp Lake Township, Precinct 1",226,731,30.92
471430000001,"Center Township, Precinct 1",177,487,36.34
471890000001,"Cross Village Township, Precinct 1",138,280,49.29
473086000001,"Friendship Township, Precinct 1",337,879,38.34
473656000001,"City of Harbor Springs, Precinct 1",504,1172,43.00
474808000001,"Little Traverse Township, Precinct 1",877,2625,33.41
474802000001,"Littlefield Township, Precinct 1",729,2906,25.09
475128000001,"Maple River Township, Precinct 1",351,1092,32.14
475034000001,"McKinley Township, Precinct 1",285,1093,26.08
476382001001,"City of Petoskey, Ward 1, Precinct 1",380,1096,34.67
476382002002,"City of Petoskey, Ward 2, Precinct 1",504,1128,44.68
476382003003,"City of Petoskey, Ward 3, Precinct 1",569,1555,36.59
476382004004,"City of Petoskey, Ward 4, Precinct 1",391,1294,30.22
476496000001,"Pleasantview Township, Precinct 1",322,887,36.30
476754000001,"Readmond Township, Precinct 1",260,582,44.67
476806000001,"Resort Township, Precinct 1",1086,2623,41.40
477590000001,"Springvale Township, Precinct 1",665,2070,32.13
478484000001,"Wawatam Township, Precinct 1",229,621,36.88
478630000001,"West Traverse Township, Precinct 1",833,1809,46.05
