id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,WI
470638000001,"Bear Creek Township, Precinct 1",363,,,0,174,19,170,0
470638000002,"Bear Creek Township, Precinct 2",363,,,0,143,39,181,0
470898000001,"Bliss Township, Precinct 1",0,,,0,0,0,0,0
471350000001,"Carp Lake Township, Precinct 1",0,,,0,0,0,0,0
471430000001,"Center Township, Precinct 1",0,,,0,0,0,0,0
471890000001,"Cross Village Township, Precinct 1",0,,,0,0,0,0,0
473086000001,"Friendship Township, Precinct 1",0,,,0,0,0,0,0
473656000001,"City of Harbor Springs, Precinct 1",0,,,0,0,0,0,0
474808000001,"Little Traverse Township, Precinct 1",239,,,0,95,23,121,0
474802000001,"Littlefield Township, Precinct 1",0,,,0,0,0,0,0
475128000001,"Maple River Township, Precinct 1",0,,,0,0,0,0,0
475034000001,"McKinley Township, Precinct 1",0,,,0,0,0,0,0
476382001001,"City of Petoskey, Ward 1, Precinct 1",165,,,0,79,11,75,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",184,,,0,94,16,74,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",219,,,0,89,18,112,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",136,,,0,90,6,40,0
476496000001,"Pleasantview Township, Precinct 1",96,,,0,53,5,38,0
476754000001,"Readmond Township, Precinct 1",0,,,0,0,0,0,0
476806000001,"Resort Township, Precinct 1",0,,,0,0,0,0,0
477590000001,"Springvale Township, Precinct 1",0,,,0,0,0,0,0
478484000001,"Wawatam Township, Precinct 1",0,,,0,0,0,0,0
478630000001,"West Traverse Township, Precinct 1",230,,,0,76,31,123,0
