id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,WI
470638000001,"Bear Creek Township, Precinct 1",172,,,0,129,6,37,0
470638000002,"Bear Creek Township, Precinct 2",170,,,0,132,2,36,0
470898000001,"Bliss Township, Precinct 1",101,,,0,49,4,48,0
471350000001,"Carp Lake Township, Precinct 1",102,,,0,49,6,46,1
471430000001,"Center Township, Precinct 1",84,,,0,53,4,27,0
471890000001,"Cross Village Township, Precinct 1",73,,,0,43,5,25,0
473086000001,"Friendship Township, Precinct 1",164,,,0,92,5,66,1
473656000001,"City of Harbor Springs, Precinct 1",259,,,0,122,13,124,0
474808000001,"Little Traverse Township, Precinct 1",175,,,0,118,4,52,1
474802000001,"Littlefield Township, Precinct 1",340,,,0,180,11,149,0
475128000001,"Maple River Township, Precinct 1",131,,,0,70,11,50,0
475034000001,"McKinley Township, Precinct 1",105,,,0,51,6,48,0
476382001001,"City of Petoskey, Ward 1, Precinct 1",79,,,0,60,2,17,0
476382002002,"City of Petoskey, Ward 2, Precinct 1",158,,,0,121,3,34,0
476382003003,"City of Petoskey, Ward 3, Precinct 1",96,,,0,61,4,31,0
476382004004,"City of Petoskey, Ward 4, Precinct 1",130,,,0,106,2,22,0
476496000001,"Pleasantview Township, Precinct 1",55,,,0,24,2,28,1
476754000001,"Readmond Township, Precinct 1",133,,,0,70,1,62,0
476806000001,"Resort Township, Precinct 1",530,,,0,253,20,257,0
477590000001,"Springvale Township, Precinct 1",313,,,0,152,17,144,0
478484000001,"Wawatam Township, Precinct 1",107,,,0,46,5,55,1
478630000001,"West Traverse Township, Precinct 1",148,,,0,80,9,59,0
