id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
490342000001,"Argentine Township, Precinct 1",28,,,1,14,13
490342000002,"Argentine Township, Precinct 2",36,,,0,17,19
490342000003,"Argentine Township, Precinct 3",10,,,0,7,3
490400000001,"Atlas Township, Precinct 1",34,,,0,19,15
490400000002,"Atlas Township, Precinct 2",29,,,0,13,16
490400000003,"Atlas Township, Precinct 3",49,,,0,26,23
491206000001,"City of Burton, Precinct 1",6,,,0,2,4
491206000002,"City of Burton, Precinct 2",16,,,1,6,9
491206000003,"City of Burton, Precinct 3",37,,,0,21,16
491206000004,"City of Burton, Precinct 4",31,,,0,20,11
491206000005,"City of Burton, Precinct 5",22,,,0,12,10
491206000006,"City of Burton, Precinct 6",17,,,0,7,10
491206000007,"City of Burton, Precinct 7",30,,,0,12,18
491626000001,"Clayton Township, Precinct 1",20,,,0,10,10
491626000002,"Clayton Township, Precinct 2",29,,,0,18,11
491626000003,"Clayton Township, Precinct 3",14,,,0,7,7
491626000004,"Clayton Township, Precinct 4",9,,,0,3,6
491662000001,"City of Clio, Precinct 1",24,,,1,11,12
491988000001,"City of Davison, Precinct 1",26,,,0,15,11
491988000002,"City of Davison, Precinct 2",20,,,0,12,8
491990000001,"Davison Township, Precinct 1",29,,,0,19,10
491990000002,"Davison Township, Precinct 2",26,,,0,11,15
491990000003,"Davison Township, Precinct 3",13,,,0,8,5
491990000004,"Davison Township, Precinct 4",22,,,0,12,10
491990000005,"Davison Township, Precinct 5",23,,,0,12,11
491990000006,"Davison Township, Precinct 6",22,,,0,11,11
491990000007,"Davison Township, Precinct 7",21,,,0,9,12
491990000008,"Davison Township, Precinct 8",40,,,0,24,16
492776000001,"City of Fenton, Precinct 1",0,,,0,0,0
492776000002,"City of Fenton, Precinct 2",0,,,0,0,0
492776000003,"City of Fenton, Precinct 3",0,,,0,0,0
492778000001,"Fenton Township, Precinct 1",40,,,0,25,15
492778000002,"Fenton Township, Precinct 2",22,,,0,11,11
492778000003,"Fenton Township, Precinct 3",27,,,0,17,10
492778000004,"Fenton Township, Precinct 4",21,,,0,13,8
492778000005,"Fenton Township, Precinct 5",33,,,0,19,14
492778000006,"Fenton Township, Precinct 6",24,,,0,14,10
492900001001,"City of Flint, Precinct 1",30,,,0,9,21
492900001002,"City of Flint, Precinct 2",12,,,1,5,6
492900001003,"City of Flint, Precinct 3",2,,,0,1,1
