id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
490342000001,"Argentine Township, Precinct 1",156,,,1,74,81
490342000002,"Argentine Township, Precinct 2",120,,,0,55,65
490342000003,"Argentine Township, Precinct 3",36,,,0,17,19
490400000001,"Atlas Township, Precinct 1",180,,,1,81,98
490400000002,"Atlas Township, Precinct 2",105,,,0,54,51
490400000003,"Atlas Township, Precinct 3",130,,,1,63,66
491206000001,"City of Burton, Precinct 1",71,,,0,36,35
491206000002,"City of Burton, Precinct 2",270,,,1,130,139
491206000003,"City of Burton, Precinct 3",254,,,0,136,118
491206000004,"City of Burton, Precinct 4",331,,,1,134,196
491206000005,"City of Burton, Precinct 5",229,,,0,103,126
491206000006,"City of Burton, Precinct 6",180,,,1,86,93
491206000007,"City of Burton, Precinct 7",242,,,0,112,130
491626000001,"Clayton Township, Precinct 1",513,,,2,288,223
491626000002,"Clayton Township, Precinct 2",361,,,2,202,157
491626000003,"Clayton Township, Precinct 3",277,,,0,122,155
491626000004,"Clayton Township, Precinct 4",202,,,1,88,113
491662000001,"City of Clio, Precinct 1",324,,,0,166,158
491988000001,"City of Davison, Precinct 1",181,,,0,96,85
491988000002,"City of Davison, Precinct 2",185,,,1,87,97
491990000001,"Davison Township, Precinct 1",159,,,1,79,79
491990000002,"Davison Township, Precinct 2",139,,,0,63,76
491990000003,"Davison Township, Precinct 3",86,,,0,33,53
491990000004,"Davison Township, Precinct 4",118,,,0,61,57
491990000005,"Davison Township, Precinct 5",113,,,0,54,59
491990000006,"Davison Township, Precinct 6",188,,,0,98,90
491990000007,"Davison Township, Precinct 7",106,,,0,39,67
491990000008,"Davison Township, Precinct 8",227,,,0,99,128
492776000001,"City of Fenton, Precinct 1",139,,,1,74,64
492776000002,"City of Fenton, Precinct 2",325,,,3,182,140
492776000003,"City of Fenton, Precinct 3",276,,,0,156,120
492778000001,"Fenton Township, Precinct 1",181,,,0,72,109
492778000002,"Fenton Township, Precinct 2",161,,,0,76,85
492778000003,"Fenton Township, Precinct 3",168,,,0,65,103
492778000004,"Fenton Township, Precinct 4",119,,,0,49,70
492778000005,"Fenton Township, Precinct 5",153,,,0,65,88
492778000006,"Fenton Township, Precinct 6",167,,,0,72,95
492900001001,"City of Flint, Precinct 1",414,,,0,179,235
492900001002,"City of Flint, Precinct 2",355,,,0,166,189
492900001003,"City of Flint, Precinct 3",4,,,0,1,3
492900002004,"City of Flint, Precinct 4",106,,,0,53,53
