id,name,total,over_votes,under_votes,Write-in,John James,Perry Johnson,Mike Cox,Aric Nesbitt
490342000001,"Argentine Township, Precinct 1",194,,,1,107,52,33,1
490342000002,"Argentine Township, Precinct 2",105,,,0,44,39,21,1
490342000003,"Argentine Township, Precinct 3",49,,,0,17,17,13,2
490400000001,"Atlas Township, Precinct 1",143,,,0,62,65,15,1
490400000002,"Atlas Township, Precinct 2",67,,,0,31,20,15,1
490400000003,"Atlas Township, Precinct 3",212,,,0,116,64,32,0
491206000001,"City of Burton, Precinct 1",23,,,1,9,10,2,1
491206000002,"City of Burton, Precinct 2",63,,,0,35,15,12,1
491206000003,"City of Burton, Precinct 3",98,,,0,42,33,21,2
491206000004,"City of Burton, Precinct 4",160,,,0,75,59,23,3
491206000005,"City of Burton, Precinct 5",128,,,1,58,45,22,2
491206000006,"City of Burton, Precinct 6",101,,,0,40,45,16,0
491206000007,"City of Burton, Precinct 7",126,,,0,61,43,22,0
491626000001,"Clayton Township, Precinct 1",0,,,0,0,0,0,0
491626000002,"Clayton Township, Precinct 2",0,,,0,0,0,0,0
491626000003,"Clayton Township, Precinct 3",0,,,0,0,0,0,0
491626000004,"Clayton Township, Precinct 4",0,,,0,0,0,0,0
491662000001,"City of Clio, Precinct 1",0,,,0,0,0,0,0
491988000001,"City of Davison, Precinct 1",79,,,0,49,16,14,0
491988000002,"City of Davison, Precinct 2",70,,,0,28,21,13,8
491990000001,"Davison Township, Precinct 1",92,,,0,49,22,21,0
491990000002,"Davison Township, Precinct 2",112,,,0,55,30,26,1
491990000003,"Davison Township, Precinct 3",96,,,0,37,43,16,0
491990000004,"Davison Township, Precinct 4",162,,,0,84,50,27,1
491990000005,"Davison Township, Precinct 5",39,,,0,23,10,6,0
491990000006,"Davison Township, Precinct 6",70,,,0,33,19,18,0
491990000007,"Davison Township, Precinct 7",104,,,0,48,35,18,3
491990000008,"Davison Township, Precinct 8",151,,,0,69,42,35,5
492776000001,"City of Fenton, Precinct 1",69,,,0,41,18,9,1
492776000002,"City of Fenton, Precinct 2",184,,,0,93,59,30,2
492776000003,"City of Fenton, Precinct 3",167,,,0,75,58,31,3
492778000001,"Fenton Township, Precinct 1",199,,,0,100,57,38,4
492778000002,"Fenton Township, Precinct 2",181,,,1,73,66,39,2
492778000003,"Fenton Township, Precinct 3",199,,,0,95,53,49,2
492778000004,"Fenton Township, Precinct 4",225,,,1,122,57,40,5
492778000005,"Fenton Township, Precinct 5",167,,,0,95,41,27,4
492778000006,"Fenton Township, Precinct 6",232,,,0,112,72,46,2
492900001001,"City of Flint, Precinct 1",3,,,0,3,0,0,0
492900001002,"City of Flint, Precinct 2",11,,,0,5,4,0,2
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0,0
492900002004,"City of Flint, Precinct 4",0,,,0,0,0,0,0
492900002005,"City of Flint, Precinct 5",7,,,0,3,3,1,0
492900002006,"City of Flint, Precinct 6",3,,,0,2,0,1,0
492900002007,"City of Flint, Precinct 7",1,,,0,0,0,0,1
492900003008,"City of Flint, Precinct 8",0,,,0,0,0,0,0
492900003009,"City of Flint, Precinct 9",5,,,0,2,2,1,0
492900003010,"City of Flint, Precinct 10",12,,,1,3,8,0,0
492900004011,"City of Flint, Precinct 11",22,,,1,11,6,3,1
492900004012,"City of Flint, Precinct 12",44,,,0,11,17,16,0
492900005013,"City of Flint, Precinct 13",1,,,0,0,1,0,0
492900005014,"City of Flint, Precinct 14",6,,,0,2,2,1,1
492900005015,"City of Flint, Precinct 15",17,,,0,8,5,4,0
492900006016,"City of Flint, Precinct 16",13,,,0,6,0,7,0
492900006017,"City of Flint, Precinct 17",34,,,0,13,14,7,0
492900006018,"City of Flint, Precinct 18",4,,,0,0,1,3,0
492900007019,"City of Flint, Precinct 19",1,,,0,1,0,0,0
492900007020,"City of Flint, Precinct 20",31,,,0,21,4,6,0
492900007021,"City of Flint, Precinct 21",16,,,0,9,6,1,0
492900008022,"City of Flint, Precinct 22",2,,,0,2,0,0,0
492900008023,"City of Flint, Precinct 23",47,,,0,22,15,9,1
492900008024,"City of Flint, Precinct 24",21,,,0,8,7,6,0
492900009025,"City of Flint, Precinct 25",0,,,0,0,0,0,0
492900009026,"City of Flint, Precinct 26",8,,,0,3,4,1,0
492900009027,"City of Flint, Precinct 27",1,,,0,1,0,0,0
492900009028,"City of Flint, Precinct 28",15,,,1,6,5,3,0
492900009029,"City of Flint, Precinct 29",21,,,0,9,8,4,0
492902000001,"Flint Township, Precinct 1",99,,,0,44,40,15,0
492902000002,"Flint Township, Precinct 2",59,,,0,20,17,18,4
492902000003,"Flint Township, Precinct 3",186,,,1,88,60,35,2
492902000004,"Flint Township, Precinct 4",27,,,1,13,7,4,2
492902000005,"Flint Township, Precinct 5",109,,,0,53,35,20,1
492902000006,"Flint Township, Precinct 6",23,,,0,5,11,7,0
492902000007,"Flint Township, Precinct 7",36,,,0,23,6,7,0
492902000008,"Flint Township, Precinct 8",116,,,0,48,52,13,3
492920000001,"City of Flushing, Precinct 1",67,,,0,34,22,11,0
492920000002,"City of Flushing, Precinct 2",75,,,0,36,23,12,4
492920000003,"City of Flushing, Precinct 3",73,,,0,31,31,11,0
492920000004,"City of Flushing, Precinct 4",95,,,0,41,34,20,0
492922000001,"Flushing Township, Precinct 1",102,,,0,45,39,15,3
492922000002,"Flushing Township, Precinct 2",87,,,0,42,33,12,0
492922000003,"Flushing Township, Precinct 3",149,,,0,67,59,21,2
492922000004,"Flushing Township, Precinct 4",99,,,0,55,30,14,0
492942000001,"Forest Township, Precinct 1",265,,,0,115,89,52,9
493122000001,"Gaines Township, Precinct 1",0,,,0,0,0,0,0
493122000002,"Gaines Township, Precinct 2",0,,,0,0,0,0,0
493122000003,"Gaines Township, Precinct 3",0,,,0,0,0,0,0
493180000001,"Genesee Township, Precinct 1",61,,,0,24,23,10,4
493180000002,"Genesee Township, Precinct 2",11,,,0,2,7,2,0
493180000003,"Genesee Township, Precinct 3",102,,,0,43,42,16,1
493180000004,"Genesee Township, Precinct 4",65,,,0,31,19,13,2
493180000005,"Genesee Township, Precinct 5",77,,,1,24,38,12,2
493180000006,"Genesee Township, Precinct 6",67,,,0,28,28,10,1
493180000007,"Genesee Township, Precinct 7",45,,,0,25,11,8,1
493328000001,"City of Grand Blanc, Precinct 1",166,,,0,103,34,26,3
493328000002,"City of Grand Blanc, Precinct 2",161,,,0,78,48,33,2
493330000001,"Grand Blanc Township, Precinct 1",116,,,1,53,42,17,3
493330000002,"Grand Blanc Township, Precinct 2",42,,,0,16,18,5,3
493330000003,"Grand Blanc Township, Precinct 3",181,,,2,91,56,28,4
