id,name,total,over_votes,under_votes,Write-in,John James,Perry Johnson,Mike Cox,Aric Nesbitt
490342000001,"Argentine Township, Precinct 1",46,,,0,12,28,6,0
490342000002,"Argentine Township, Precinct 2",56,,,0,35,13,8,0
490342000003,"Argentine Township, Precinct 3",15,,,0,7,7,1,0
490400000001,"Atlas Township, Precinct 1",51,,,0,31,13,5,2
490400000002,"Atlas Township, Precinct 2",27,,,0,13,12,2,0
490400000003,"Atlas Township, Precinct 3",60,,,0,36,20,3,1
491206000001,"City of Burton, Precinct 1",0,,,0,0,0,0,0
491206000002,"City of Burton, Precinct 2",5,,,0,2,2,1,0
491206000003,"City of Burton, Precinct 3",10,,,0,7,3,0,0
491206000004,"City of Burton, Precinct 4",16,,,0,5,10,1,0
491206000005,"City of Burton, Precinct 5",12,,,0,10,2,0,0
491206000006,"City of Burton, Precinct 6",8,,,0,5,3,0,0
491206000007,"City of Burton, Precinct 7",26,,,0,10,12,4,0
491626000001,"Clayton Township, Precinct 1",28,,,0,23,3,2,0
491626000002,"Clayton Township, Precinct 2",22,,,0,10,8,4,0
491626000003,"Clayton Township, Precinct 3",7,,,0,3,4,0,0
491626000004,"Clayton Township, Precinct 4",18,,,0,12,5,1,0
491662000001,"City of Clio, Precinct 1",25,,,0,14,11,0,0
491988000001,"City of Davison, Precinct 1",9,,,0,6,3,0,0
491988000002,"City of Davison, Precinct 2",16,,,0,6,8,1,1
491990000001,"Davison Township, Precinct 1",20,,,0,10,8,2,0
491990000002,"Davison Township, Precinct 2",28,,,0,18,9,1,0
491990000003,"Davison Township, Precinct 3",18,,,0,12,2,1,3
491990000004,"Davison Township, Precinct 4",18,,,0,9,7,2,0
491990000005,"Davison Township, Precinct 5",6,,,0,3,1,2,0
491990000006,"Davison Township, Precinct 6",26,,,0,15,4,7,0
491990000007,"Davison Township, Precinct 7",22,,,0,13,7,2,0
491990000008,"Davison Township, Precinct 8",21,,,0,13,7,1,0
492776000001,"City of Fenton, Precinct 1",0,,,0,0,0,0,0
492776000002,"City of Fenton, Precinct 2",0,,,0,0,0,0,0
492776000003,"City of Fenton, Precinct 3",0,,,0,0,0,0,0
492778000001,"Fenton Township, Precinct 1",40,,,0,21,17,2,0
492778000002,"Fenton Township, Precinct 2",32,,,0,21,1,10,0
492778000003,"Fenton Township, Precinct 3",37,,,0,20,12,5,0
492778000004,"Fenton Township, Precinct 4",30,,,0,17,12,1,0
492778000005,"Fenton Township, Precinct 5",23,,,0,19,1,3,0
492778000006,"Fenton Township, Precinct 6",23,,,0,18,4,0,1
492900001001,"City of Flint, Precinct 1",0,,,0,0,0,0,0
492900001002,"City of Flint, Precinct 2",2,,,0,0,0,2,0
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0,0
492900002004,"City of Flint, Precinct 4",0,,,0,0,0,0,0
492900002005,"City of Flint, Precinct 5",1,,,0,0,0,1,0
492900002006,"City of Flint, Precinct 6",0,,,0,0,0,0,0
492900002007,"City of Flint, Precinct 7",0,,,0,0,0,0,0
492900003008,"City of Flint, Precinct 8",0,,,0,0,0,0,0
492900003009,"City of Flint, Precinct 9",0,,,0,0,0,0,0
492900003010,"City of Flint, Precinct 10",1,,,0,0,1,0,0
492900004011,"City of Flint, Precinct 11",2,,,0,1,1,0,0
492900004012,"City of Flint, Precinct 12",4,,,0,4,0,0,0
