id,name,total,over_votes,under_votes,Write-in,John James,Perry Johnson,Mike Cox,Aric Nesbitt
490342000001,"Argentine Township, Precinct 1",196,,,0,115,52,28,1
490342000002,"Argentine Township, Precinct 2",173,,,1,98,60,10,4
490342000003,"Argentine Township, Precinct 3",47,,,1,31,12,2,1
490400000001,"Atlas Township, Precinct 1",262,,,1,138,102,20,1
490400000002,"Atlas Township, Precinct 2",150,,,1,87,41,17,4
490400000003,"Atlas Township, Precinct 3",268,,,0,145,99,24,0
491206000001,"City of Burton, Precinct 1",28,,,0,12,13,3,0
491206000002,"City of Burton, Precinct 2",161,,,0,86,58,17,0
491206000003,"City of Burton, Precinct 3",152,,,1,65,67,17,2
491206000004,"City of Burton, Precinct 4",211,,,1,123,65,21,1
491206000005,"City of Burton, Precinct 5",206,,,1,113,72,18,2
491206000006,"City of Burton, Precinct 6",132,,,0,56,64,11,1
491206000007,"City of Burton, Precinct 7",189,,,0,112,59,17,1
491626000001,"Clayton Township, Precinct 1",286,,,0,152,99,34,1
491626000002,"Clayton Township, Precinct 2",214,,,1,111,78,22,2
491626000003,"Clayton Township, Precinct 3",129,,,0,55,58,13,3
491626000004,"Clayton Township, Precinct 4",160,,,0,68,65,26,1
491662000001,"City of Clio, Precinct 1",154,,,0,84,48,18,4
491988000001,"City of Davison, Precinct 1",135,,,0,78,45,11,1
491988000002,"City of Davison, Precinct 2",126,,,0,65,42,18,1
491990000001,"Davison Township, Precinct 1",191,,,0,99,72,19,1
491990000002,"Davison Township, Precinct 2",183,,,0,105,60,17,1
491990000003,"Davison Township, Precinct 3",145,,,0,83,51,10,1
491990000004,"Davison Township, Precinct 4",89,,,0,48,28,13,0
491990000005,"Davison Township, Precinct 5",83,,,0,45,21,13,4
491990000006,"Davison Township, Precinct 6",96,,,0,59,32,3,2
491990000007,"Davison Township, Precinct 7",141,,,0,79,50,11,1
491990000008,"Davison Township, Precinct 8",229,,,0,131,55,37,6
492776000001,"City of Fenton, Precinct 1",120,,,0,72,30,18,0
492776000002,"City of Fenton, Precinct 2",218,,,0,121,77,18,2
492776000003,"City of Fenton, Precinct 3",188,,,0,116,53,19,0
492778000001,"Fenton Township, Precinct 1",210,,,0,112,68,29,1
492778000002,"Fenton Township, Precinct 2",255,,,2,132,104,14,3
492778000003,"Fenton Township, Precinct 3",216,,,1,130,65,17,3
492778000004,"Fenton Township, Precinct 4",153,,,0,102,45,6,0
492778000005,"Fenton Township, Precinct 5",197,,,0,118,63,16,0
492778000006,"Fenton Township, Precinct 6",200,,,0,119,52,28,1
492900001001,"City of Flint, Precinct 1",8,,,0,5,1,2,0
492900001002,"City of Flint, Precinct 2",8,,,0,4,3,1,0
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0,0
492900002004,"City of Flint, Precinct 4",2,,,0,0,1,1,0
492900002005,"City of Flint, Precinct 5",13,,,0,5,7,1,0
492900002006,"City of Flint, Precinct 6",8,,,0,4,2,2,0
492900002007,"City of Flint, Precinct 7",2,,,0,1,1,0,0
492900003008,"City of Flint, Precinct 8",8,,,0,4,3,0,1
492900003009,"City of Flint, Precinct 9",6,,,0,4,1,0,1
492900003010,"City of Flint, Precinct 10",60,,,2,26,23,7,2
492900004011,"City of Flint, Precinct 11",40,,,0,22,8,10,0
492900004012,"City of Flint, Precinct 12",107,,,0,49,38,16,4
492900005013,"City of Flint, Precinct 13",2,,,0,1,0,1,0
492900005014,"City of Flint, Precinct 14",18,,,0,4,11,2,1
492900005015,"City of Flint, Precinct 15",47,,,0,25,14,8,0
492900006016,"City of Flint, Precinct 16",44,,,0,16,23,5,0
492900006017,"City of Flint, Precinct 17",71,,,1,36,25,8,1
492900006018,"City of Flint, Precinct 18",11,,,0,9,1,1,0
492900007019,"City of Flint, Precinct 19",4,,,0,0,1,2,1
492900007020,"City of Flint, Precinct 20",61,,,0,39,19,3,0
492900007021,"City of Flint, Precinct 21",40,,,1,18,12,9,0
492900008022,"City of Flint, Precinct 22",6,,,0,4,1,1,0
492900008023,"City of Flint, Precinct 23",61,,,0,34,18,9,0
492900008024,"City of Flint, Precinct 24",62,,,0,26,28,7,1
492900009025,"City of Flint, Precinct 25",2,,,0,0,1,1,0
492900009026,"City of Flint, Precinct 26",17,,,0,7,7,3,0
492900009027,"City of Flint, Precinct 27",3,,,0,0,1,1,1
492900009028,"City of Flint, Precinct 28",31,,,1,18,6,6,0
492900009029,"City of Flint, Precinct 29",57,,,0,30,23,4,0
492902000001,"Flint Township, Precinct 1",66,,,0,44,19,1,2
492902000002,"Flint Township, Precinct 2",57,,,0,23,29,3,2
492902000003,"Flint Township, Precinct 3",180,,,0,92,59,27,2
492902000004,"Flint Township, Precinct 4",57,,,0,23,29,5,0
492902000005,"Flint Township, Precinct 5",89,,,0,46,36,6,1
492902000006,"Flint Township, Precinct 6",39,,,0,14,21,3,1
492902000007,"Flint Township, Precinct 7",62,,,0,33,17,10,2
492902000008,"Flint Township, Precinct 8",196,,,0,109,76,8,3
492920000001,"City of Flushing, Precinct 1",92,,,0,50,36,6,0
492920000002,"City of Flushing, Precinct 2",85,,,0,52,26,6,1
492920000003,"City of Flushing, Precinct 3",94,,,0,62,23,9,0
492920000004,"City of Flushing, Precinct 4",115,,,1,68,35,9,2
492922000001,"Flushing Township, Precinct 1",218,,,0,111,79,26,2
492922000002,"Flushing Township, Precinct 2",111,,,0,55,38,17,1
492922000003,"Flushing Township, Precinct 3",221,,,1,109,91,18,2
492922000004,"Flushing Township, Precinct 4",153,,,0,89,52,10,2
492942000001,"Forest Township, Precinct 1",390,,,0,203,138,43,6
493122000001,"Gaines Township, Precinct 1",372,,,0,172,155,41,4
493122000002,"Gaines Township, Precinct 2",181,,,0,91,61,26,3
493122000003,"Gaines Township, Precinct 3",285,,,0,172,76,35,2
493180000001,"Genesee Township, Precinct 1",132,,,0,55,58,17,2
493180000002,"Genesee Township, Precinct 2",16,,,0,7,7,2,0
493180000003,"Genesee Township, Precinct 3",144,,,1,72,55,15,1
493180000004,"Genesee Township, Precinct 4",154,,,1,92,50,11,0
493180000005,"Genesee Township, Precinct 5",181,,,1,89,77,14,0
493180000006,"Genesee Township, Precinct 6",126,,,0,69,42,13,2
493180000007,"Genesee Township, Precinct 7",150,,,0,69,66,13,2
493328000001,"City of Grand Blanc, Precinct 1",203,,,0,135,53,14,1
493328000002,"City of Grand Blanc, Precinct 2",179,,,0,103,57,19,0
