id,name,total,over_votes,under_votes,Write-in,John James,Perry Johnson,Mike Cox,Aric Nesbitt
490342000001,"Argentine Township, Precinct 1",436,,,1,234,132,67,2
490342000002,"Argentine Township, Precinct 2",334,,,1,177,112,39,5
490342000003,"Argentine Township, Precinct 3",111,,,1,55,36,16,3
490400000001,"Atlas Township, Precinct 1",456,,,1,231,180,40,4
490400000002,"Atlas Township, Precinct 2",244,,,1,131,73,34,5
490400000003,"Atlas Township, Precinct 3",540,,,0,297,183,59,1
491206000001,"City of Burton, Precinct 1",51,,,1,21,23,5,1
491206000002,"City of Burton, Precinct 2",229,,,0,123,75,30,1
491206000003,"City of Burton, Precinct 3",260,,,1,114,103,38,4
491206000004,"City of Burton, Precinct 4",387,,,1,203,134,45,4
491206000005,"City of Burton, Precinct 5",346,,,2,181,119,40,4
491206000006,"City of Burton, Precinct 6",241,,,0,101,112,27,1
491206000007,"City of Burton, Precinct 7",341,,,0,183,114,43,1
491626000001,"Clayton Township, Precinct 1",314,,,0,175,102,36,1
491626000002,"Clayton Township, Precinct 2",236,,,1,121,86,26,2
491626000003,"Clayton Township, Precinct 3",136,,,0,58,62,13,3
491626000004,"Clayton Township, Precinct 4",178,,,0,80,70,27,1
491662000001,"City of Clio, Precinct 1",179,,,0,98,59,18,4
491988000001,"City of Davison, Precinct 1",223,,,0,133,64,25,1
491988000002,"City of Davison, Precinct 2",212,,,0,99,71,32,10
491990000001,"Davison Township, Precinct 1",303,,,0,158,102,42,1
491990000002,"Davison Township, Precinct 2",323,,,0,178,99,44,2
491990000003,"Davison Township, Precinct 3",259,,,0,132,96,27,4
491990000004,"Davison Township, Precinct 4",269,,,0,141,85,42,1
491990000005,"Davison Township, Precinct 5",128,,,0,71,32,21,4
491990000006,"Davison Township, Precinct 6",192,,,0,107,55,28,2
491990000007,"Davison Township, Precinct 7",267,,,0,140,92,31,4
491990000008,"Davison Township, Precinct 8",401,,,0,213,104,73,11
492776000001,"City of Fenton, Precinct 1",189,,,0,113,48,27,1
492776000002,"City of Fenton, Precinct 2",402,,,0,214,136,48,4
492776000003,"City of Fenton, Precinct 3",355,,,0,191,111,50,3
492778000001,"Fenton Township, Precinct 1",449,,,0,233,142,69,5
492778000002,"Fenton Township, Precinct 2",468,,,3,226,171,63,5
492778000003,"Fenton Township, Precinct 3",452,,,1,245,130,71,5
492778000004,"Fenton Township, Precinct 4",408,,,1,241,114,47,5
492778000005,"Fenton Township, Precinct 5",387,,,0,232,105,46,4
492778000006,"Fenton Township, Precinct 6",455,,,0,249,128,74,4
492900001001,"City of Flint, Precinct 1",11,,,0,8,1,2,0
492900001002,"City of Flint, Precinct 2",21,,,0,9,7,3,2
492900001003,"City of Flint, Precinct 3",0,,,0,0,0,0,0
492900002004,"City of Flint, Precinct 4",2,,,0,0,1,1,0
492900002005,"City of Flint, Precinct 5",21,,,0,8,10,3,0
492900002006,"City of Flint, Precinct 6",11,,,0,6,2,3,0
492900002007,"City of Flint, Precinct 7",3,,,0,1,1,0,1
492900003008,"City of Flint, Precinct 8",8,,,0,4,3,0,1
492900003009,"City of Flint, Precinct 9",11,,,0,6,3,1,1
492900003010,"City of Flint, Precinct 10",73,,,3,29,32,7,2
492900004011,"City of Flint, Precinct 11",64,,,1,34,15,13,1
492900004012,"City of Flint, Precinct 12",155,,,0,64,55,32,4
492900005013,"City of Flint, Precinct 13",3,,,0,1,1,1,0
492900005014,"City of Flint, Precinct 14",28,,,0,7,15,3,3
492900005015,"City of Flint, Precinct 15",70,,,0,34,23,13,0
492900006016,"City of Flint, Precinct 16",57,,,0,22,23,12,0
492900006017,"City of Flint, Precinct 17",108,,,1,50,40,16,1
492900006018,"City of Flint, Precinct 18",15,,,0,9,2,4,0
492900007019,"City of Flint, Precinct 19",5,,,0,1,1,2,1
492900007020,"City of Flint, Precinct 20",93,,,0,61,23,9,0
492900007021,"City of Flint, Precinct 21",60,,,1,28,20,11,0
492900008022,"City of Flint, Precinct 22",8,,,0,6,1,1,0
492900008023,"City of Flint, Precinct 23",116,,,0,57,39,19,1
492900008024,"City of Flint, Precinct 24",85,,,0,34,36,14,1
492900009025,"City of Flint, Precinct 25",3,,,0,1,1,1,0
492900009026,"City of Flint, Precinct 26",27,,,0,11,11,4,1
492900009027,"City of Flint, Precinct 27",4,,,0,1,1,1,1
492900009028,"City of Flint, Precinct 28",47,,,2,25,11,9,0
492900009029,"City of Flint, Precinct 29",82,,,0,41,31,10,0
492902000001,"Flint Township, Precinct 1",185,,,0,103,63,17,2
492902000002,"Flint Township, Precinct 2",120,,,0,45,47,22,6
492902000003,"Flint Township, Precinct 3",399,,,3,196,129,67,4
492902000004,"Flint Township, Precinct 4",96,,,1,39,42,12,2
492902000005,"Flint Township, Precinct 5",208,,,0,106,74,26,2
492902000006,"Flint Township, Precinct 6",64,,,0,20,33,10,1
492902000007,"Flint Township, Precinct 7",113,,,0,63,29,19,2
492902000008,"Flint Township, Precinct 8",324,,,0,165,132,21,6
492920000001,"City of Flushing, Precinct 1",168,,,0,90,61,17,0
492920000002,"City of Flushing, Precinct 2",176,,,0,101,50,20,5
492920000003,"City of Flushing, Precinct 3",184,,,0,107,55,22,0
492920000004,"City of Flushing, Precinct 4",220,,,1,113,75,29,2
492922000001,"Flushing Township, Precinct 1",333,,,0,167,119,42,5
492922000002,"Flushing Township, Precinct 2",219,,,0,105,83,30,1
492922000003,"Flushing Township, Precinct 3",383,,,1,181,157,40,4
492922000004,"Flushing Township, Precinct 4",259,,,0,145,87,25,2
492942000001,"Forest Township, Precinct 1",706,,,0,343,249,99,15
493122000001,"Gaines Township, Precinct 1",416,,,0,197,170,43,6
493122000002,"Gaines Township, Precinct 2",191,,,0,97,64,27,3
493122000003,"Gaines Township, Precinct 3",301,,,0,178,86,35,2
493180000001,"Genesee Township, Precinct 1",201,,,0,81,86,28,6
493180000002,"Genesee Township, Precinct 2",29,,,0,9,16,4,0
493180000003,"Genesee Township, Precinct 3",251,,,1,118,99,31,2
493180000004,"Genesee Township, Precinct 4",242,,,1,136,78,25,2
493180000005,"Genesee Township, Precinct 5",265,,,2,117,117,26,3
493180000006,"Genesee Township, Precinct 6",202,,,0,99,75,24,4
493180000007,"Genesee Township, Precinct 7",202,,,0,100,77,21,4
493328000001,"City of Grand Blanc, Precinct 1",384,,,0,246,94,40,4
493328000002,"City of Grand Blanc, Precinct 2",355,,,0,191,109,53,2
493330000001,"Grand Blanc Township, Precinct 1",280,,,1,143,99,31,6
493330000002,"Grand Blanc Township, Precinct 2",119,,,1,58,42,14,4
493330000003,"Grand Blanc Township, Precinct 3",432,,,2,238,141,44,7
493330000004,"Grand Blanc Township, Precinct 4",441,,,2,232,149,57,1
493330000005,"Grand Blanc Township, Precinct 5",345,,,0,206,87,51,1
493330000006,"Grand Blanc Township, Precinct 6",344,,,0,193,88,59,4
493330000007,"Grand Blanc Township, Precinct 7",475,,,2,286,123,59,5
493330000008,"Grand Blanc Township, Precinct 8",487,,,1,266,168,49,3
493330000009,"Grand Blanc Township, Precinct 9",241,,,1,115,83,42,0
493330000010,"Grand Blanc Township, Precinct 10",161,,,0,88,48,24,1
494782000001,"City of Linden, Precinct 1",577,,,1,296,196,75,9
495528000001,"City of Montrose, Precinct 1",123,,,2,69,35,14,3
495530000001,"Montrose Township, Precinct 1",135,,,0,73,44,15,3
495530000002,"Montrose Township, Precinct 2",117,,,0,65,43,9,0
495530000003,"Montrose Township, Precinct 3",177,,,0,91,68,17,1
495530000004,"Montrose Township, Precinct 4",216,,,0,111,78,27,0
495596000001,"City of Mount Morris, Precinct 1",100,,,1,44,40,10,5
495598000001,"Mount Morris Township, Precinct 1",54,,,0,27,16,10,1
495598000002,"Mount Morris Township, Precinct 2",158,,,0,92,46,16,4
495598000003,"Mount Morris Township, Precinct 3",116,,,0,59,43,12,2
495598000004,"Mount Morris Township, Precinct 4",186,,,0,85,79,20,2
495598000005,"Mount Morris Township, Precinct 5",65,,,0,28,20,16,1
495598000006,"Mount Morris Township, Precinct 6",46,,,0,19,22,4,1
495598000007,"Mount Morris Township, Precinct 7",25,,,2,14,7,1,1
495598000008,"Mount Morris Township, Precinct 8",23,,,0,18,2,3,0
495598000009,"Mount Morris Township, Precinct 9",24,,,0,10,11,2,1
495598000010,"Mount Morris Township, Precinct 10",9,,,0,3,6,0,0
495616000001,"Mundy Township, Precinct 1",337,,,0,169,127,40,1
495616000002,"Mundy Township, Precinct 2",209,,,1,110,68,27,3
495616000003,"Mundy Township, Precinct 3",352,,,0,177,133,39,3
495616000004,"Mundy Township, Precinct 4",248,,,0,130,89,23,6
495616000005,"Mundy Township, Precinct 5",210,,,0,106,76,27,1
495616000006,"Mundy Township, Precinct 6",205,,,0,122,56,26,1
495616000007,"Mundy Township, Precinct 7",181,,,0,90,58,32,1
496818000001,"Richfield Township, Precinct 1",698,,,1,375,226,85,11
496818000002,"Richfield Township, Precinct 2",376,,,1,205,124,43,3
497770000001,"City of Swartz Creek, Precinct 1",144,,,1,78,44,21,0
497770000002,"City of Swartz Creek, Precinct 2",108,,,1,51,38,17,1
497770000003,"City of Swartz Creek, Precinct 3",104,,,0,55,36,12,1
497770000004,"City of Swartz Creek, Precinct 4",216,,,0,111,70,35,0
497946000001,"Thetford Township, Precinct 1",309,,,1,145,117,36,10
497946000003,"Thetford Township, Precinct 2",335,,,2,158,123,48,4
498238000001,"Vienna Township, Precinct 1",340,,,1,186,117,35,1
498238000002,"Vienna Township, Precinct 2",321,,,1,166,108,44,2
498238000003,"Vienna Township, Precinct 3",256,,,0,128,93,31,4
498238000004,"Vienna Township, Precinct 4",268,,,1,139,89,33,6
498238000005,"Vienna Township, Precinct 5",251,,,0,142,74,34,1
