id,name,total,over_votes,under_votes,Write-in,Kristen McDonald Rivet
490342000001,"Argentine Township, Precinct 1",199,,,0,199
490342000002,"Argentine Township, Precinct 2",205,,,1,204
490342000003,"Argentine Township, Precinct 3",55,,,0,55
490400000001,"Atlas Township, Precinct 1",225,,,1,224
490400000002,"Atlas Township, Precinct 2",175,,,1,174
490400000003,"Atlas Township, Precinct 3",256,,,0,256
491206000001,"City of Burton, Precinct 1",104,,,0,104
491206000002,"City of Burton, Precinct 2",232,,,0,232
491206000003,"City of Burton, Precinct 3",317,,,0,317
491206000004,"City of Burton, Precinct 4",473,,,2,471
491206000005,"City of Burton, Precinct 5",383,,,0,383
491206000006,"City of Burton, Precinct 6",314,,,0,314
491206000007,"City of Burton, Precinct 7",340,,,1,339
491626000001,"Clayton Township, Precinct 1",0,,,0,0
491626000002,"Clayton Township, Precinct 2",0,,,0,0
491626000003,"Clayton Township, Precinct 3",0,,,0,0
491626000004,"Clayton Township, Precinct 4",0,,,0,0
491662000001,"City of Clio, Precinct 1",0,,,0,0
491988000001,"City of Davison, Precinct 1",194,,,2,192
491988000002,"City of Davison, Precinct 2",224,,,0,224
491990000001,"Davison Township, Precinct 1",236,,,1,235
491990000002,"Davison Township, Precinct 2",236,,,1,235
491990000003,"Davison Township, Precinct 3",164,,,0,164
491990000004,"Davison Township, Precinct 4",327,,,0,327
491990000005,"Davison Township, Precinct 5",128,,,0,128
491990000006,"Davison Township, Precinct 6",174,,,2,172
491990000007,"Davison Township, Precinct 7",123,,,0,123
491990000008,"Davison Township, Precinct 8",285,,,0,285
492776000001,"City of Fenton, Precinct 1",137,,,0,137
492776000002,"City of Fenton, Precinct 2",387,,,3,384
492776000003,"City of Fenton, Precinct 3",335,,,1,334
492778000001,"Fenton Township, Precinct 1",294,,,1,293
492778000002,"Fenton Township, Precinct 2",289,,,0,289
492778000003,"Fenton Township, Precinct 3",264,,,1,263
492778000004,"Fenton Township, Precinct 4",262,,,0,262
492778000005,"Fenton Township, Precinct 5",295,,,1,294
492778000006,"Fenton Township, Precinct 6",280,,,0,280
492900001001,"City of Flint, Precinct 1",430,,,0,430
492900001002,"City of Flint, Precinct 2",246,,,0,246
492900001003,"City of Flint, Precinct 3",11,,,0,11
492900002004,"City of Flint, Precinct 4",94,,,0,94
492900002005,"City of Flint, Precinct 5",270,,,0,270
492900002006,"City of Flint, Precinct 6",297,,,2,295
492900002007,"City of Flint, Precinct 7",86,,,0,86
492900003008,"City of Flint, Precinct 8",143,,,3,140
492900003009,"City of Flint, Precinct 9",127,,,2,125
492900003010,"City of Flint, Precinct 10",96,,,0,96
492900004011,"City of Flint, Precinct 11",135,,,0,135
492900004012,"City of Flint, Precinct 12",190,,,0,190
492900005013,"City of Flint, Precinct 13",4,,,0,4
492900005014,"City of Flint, Precinct 14",266,,,2,264
492900005015,"City of Flint, Precinct 15",198,,,1,197
492900006016,"City of Flint, Precinct 16",213,,,0,213
492900006017,"City of Flint, Precinct 17",166,,,0,166
492900006018,"City of Flint, Precinct 18",23,,,0,23
492900007019,"City of Flint, Precinct 19",104,,,2,102
492900007020,"City of Flint, Precinct 20",331,,,1,330
492900007021,"City of Flint, Precinct 21",437,,,2,435
492900008022,"City of Flint, Precinct 22",9,,,1,8
492900008023,"City of Flint, Precinct 23",394,,,0,394
492900008024,"City of Flint, Precinct 24",153,,,1,152
492900009025,"City of Flint, Precinct 25",17,,,0,17
492900009026,"City of Flint, Precinct 26",45,,,0,45
492900009027,"City of Flint, Precinct 27",1,,,0,1
492900009028,"City of Flint, Precinct 28",167,,,1,166
492900009029,"City of Flint, Precinct 29",150,,,0,150
492902000001,"Flint Township, Precinct 1",703,,,0,703
492902000002,"Flint Township, Precinct 2",366,,,2,364
492902000003,"Flint Township, Precinct 3",522,,,0,522
492902000004,"Flint Township, Precinct 4",111,,,0,111
492902000005,"Flint Township, Precinct 5",294,,,0,294
492902000006,"Flint Township, Precinct 6",120,,,0,120
492902000007,"Flint Township, Precinct 7",129,,,0,129
492902000008,"Flint Township, Precinct 8",422,,,1,421
492920000001,"City of Flushing, Precinct 1",261,,,0,261
492920000002,"City of Flushing, Precinct 2",237,,,1,236
492920000003,"City of Flushing, Precinct 3",189,,,0,189
492920000004,"City of Flushing, Precinct 4",214,,,0,214
492922000001,"Flushing Township, Precinct 1",207,,,1,206
492922000002,"Flushing Township, Precinct 2",173,,,0,173
492922000003,"Flushing Township, Precinct 3",316,,,1,315
492922000004,"Flushing Township, Precinct 4",199,,,0,199
492942000001,"Forest Township, Precinct 1",373,,,0,373
493122000001,"Gaines Township, Precinct 1",0,,,0,0
493122000002,"Gaines Township, Precinct 2",0,,,0,0
493122000003,"Gaines Township, Precinct 3",0,,,0,0
