id,name,total,over_votes,under_votes,Write-in,Kristen McDonald Rivet
490342000001,"Argentine Township, Precinct 1",222,,,1,221
490342000002,"Argentine Township, Precinct 2",238,,,1,237
490342000003,"Argentine Township, Precinct 3",64,,,0,64
490400000001,"Atlas Township, Precinct 1",256,,,1,255
490400000002,"Atlas Township, Precinct 2",198,,,1,197
490400000003,"Atlas Township, Precinct 3",299,,,0,299
491206000001,"City of Burton, Precinct 1",110,,,0,110
491206000002,"City of Burton, Precinct 2",248,,,0,248
491206000003,"City of Burton, Precinct 3",351,,,0,351
491206000004,"City of Burton, Precinct 4",498,,,2,496
491206000005,"City of Burton, Precinct 5",404,,,0,404
491206000006,"City of Burton, Precinct 6",326,,,0,326
491206000007,"City of Burton, Precinct 7",369,,,1,368
491626000001,"Clayton Township, Precinct 1",17,,,0,17
491626000002,"Clayton Township, Precinct 2",24,,,0,24
491626000003,"Clayton Township, Precinct 3",11,,,0,11
491626000004,"Clayton Township, Precinct 4",6,,,0,6
491662000001,"City of Clio, Precinct 1",23,,,0,23
491988000001,"City of Davison, Precinct 1",215,,,2,213
491988000002,"City of Davison, Precinct 2",242,,,0,242
491990000001,"Davison Township, Precinct 1",265,,,1,264
491990000002,"Davison Township, Precinct 2",260,,,2,258
491990000003,"Davison Township, Precinct 3",177,,,0,177
491990000004,"Davison Township, Precinct 4",345,,,1,344
491990000005,"Davison Township, Precinct 5",151,,,0,151
491990000006,"Davison Township, Precinct 6",194,,,3,191
491990000007,"Davison Township, Precinct 7",141,,,0,141
491990000008,"Davison Township, Precinct 8",319,,,1,318
492776000001,"City of Fenton, Precinct 1",137,,,0,137
492776000002,"City of Fenton, Precinct 2",387,,,3,384
492776000003,"City of Fenton, Precinct 3",335,,,1,334
492778000001,"Fenton Township, Precinct 1",331,,,1,330
492778000002,"Fenton Township, Precinct 2",307,,,0,307
492778000003,"Fenton Township, Precinct 3",287,,,1,286
492778000004,"Fenton Township, Precinct 4",278,,,0,278
492778000005,"Fenton Township, Precinct 5",324,,,1,323
492778000006,"Fenton Township, Precinct 6",298,,,0,298
492900001001,"City of Flint, Precinct 1",453,,,0,453
492900001002,"City of Flint, Precinct 2",257,,,0,257
492900001003,"City of Flint, Precinct 3",13,,,0,13
492900002004,"City of Flint, Precinct 4",102,,,0,102
492900002005,"City of Flint, Precinct 5",292,,,0,292
492900002006,"City of Flint, Precinct 6",322,,,2,320
492900002007,"City of Flint, Precinct 7",96,,,0,96
492900003008,"City of Flint, Precinct 8",160,,,3,157
492900003009,"City of Flint, Precinct 9",134,,,2,132
492900003010,"City of Flint, Precinct 10",99,,,0,99
492900004011,"City of Flint, Precinct 11",143,,,0,143
492900004012,"City of Flint, Precinct 12",203,,,0,203
492900005013,"City of Flint, Precinct 13",5,,,0,5
492900005014,"City of Flint, Precinct 14",303,,,3,300
492900005015,"City of Flint, Precinct 15",240,,,1,239
492900006016,"City of Flint, Precinct 16",241,,,0,241
492900006017,"City of Flint, Precinct 17",178,,,0,178
492900006018,"City of Flint, Precinct 18",24,,,0,24
492900007019,"City of Flint, Precinct 19",111,,,2,109
492900007020,"City of Flint, Precinct 20",376,,,2,374
492900007021,"City of Flint, Precinct 21",475,,,2,473
492900008022,"City of Flint, Precinct 22",10,,,1,9
492900008023,"City of Flint, Precinct 23",434,,,0,434
492900008024,"City of Flint, Precinct 24",167,,,2,165
492900009025,"City of Flint, Precinct 25",18,,,0,18
492900009026,"City of Flint, Precinct 26",48,,,0,48
492900009027,"City of Flint, Precinct 27",1,,,0,1
492900009028,"City of Flint, Precinct 28",178,,,1,177
492900009029,"City of Flint, Precinct 29",157,,,0,157
492902000001,"Flint Township, Precinct 1",811,,,0,811
492902000002,"Flint Township, Precinct 2",427,,,2,425
492902000003,"Flint Township, Precinct 3",585,,,0,585
492902000004,"Flint Township, Precinct 4",130,,,0,130
492902000005,"Flint Township, Precinct 5",376,,,1,375
492902000006,"Flint Township, Precinct 6",133,,,0,133
492902000007,"Flint Township, Precinct 7",142,,,0,142
492902000008,"Flint Township, Precinct 8",453,,,1,452
492920000001,"City of Flushing, Precinct 1",278,,,0,278
492920000002,"City of Flushing, Precinct 2",271,,,1,270
492920000003,"City of Flushing, Precinct 3",201,,,0,201
492920000004,"City of Flushing, Precinct 4",243,,,0,243
492922000001,"Flushing Township, Precinct 1",226,,,1,225
492922000002,"Flushing Township, Precinct 2",192,,,0,192
492922000003,"Flushing Township, Precinct 3",343,,,1,342
492922000004,"Flushing Township, Precinct 4",217,,,0,217
492942000001,"Forest Township, Precinct 1",413,,,0,413
493122000001,"Gaines Township, Precinct 1",28,,,1,27
493122000002,"Gaines Township, Precinct 2",16,,,0,16
493122000003,"Gaines Township, Precinct 3",21,,,0,21
493180000001,"Genesee Township, Precinct 1",213,,,2,211
493180000002,"Genesee Township, Precinct 2",86,,,0,86
493180000003,"Genesee Township, Precinct 3",260,,,0,260
493180000004,"Genesee Township, Precinct 4",216,,,1,215
493180000005,"Genesee Township, Precinct 5",370,,,1,369
493180000006,"Genesee Township, Precinct 6",199,,,1,198
493180000007,"Genesee Township, Precinct 7",193,,,2,191
493328000001,"City of Grand Blanc, Precinct 1",454,,,2,452
493328000002,"City of Grand Blanc, Precinct 2",466,,,2,464
493330000001,"Grand Blanc Township, Precinct 1",502,,,3,499
493330000002,"Grand Blanc Township, Precinct 2",117,,,0,117
493330000003,"Grand Blanc Township, Precinct 3",536,,,3,533
493330000004,"Grand Blanc Township, Precinct 4",594,,,4,590
493330000005,"Grand Blanc Township, Precinct 5",307,,,0,307
493330000006,"Grand Blanc Township, Precinct 6",339,,,1,338
493330000007,"Grand Blanc Township, Precinct 7",617,,,2,615
493330000008,"Grand Blanc Township, Precinct 8",514,,,1,513
493330000009,"Grand Blanc Township, Precinct 9",331,,,1,330
493330000010,"Grand Blanc Township, Precinct 10",363,,,0,363
494782000001,"City of Linden, Precinct 1",402,,,0,402
495528000001,"City of Montrose, Precinct 1",17,,,0,17
495530000001,"Montrose Township, Precinct 1",103,,,0,103
495530000002,"Montrose Township, Precinct 2",87,,,0,87
495530000003,"Montrose Township, Precinct 3",95,,,0,95
495530000004,"Montrose Township, Precinct 4",121,,,1,120
495596000001,"City of Mount Morris, Precinct 1",11,,,0,11
495598000001,"Mount Morris Township, Precinct 1",69,,,0,69
495598000002,"Mount Morris Township, Precinct 2",150,,,0,150
495598000003,"Mount Morris Township, Precinct 3",119,,,0,119
495598000004,"Mount Morris Township, Precinct 4",257,,,0,257
495598000005,"Mount Morris Township, Precinct 5",158,,,0,158
495598000006,"Mount Morris Township, Precinct 6",107,,,1,106
495598000007,"Mount Morris Township, Precinct 7",193,,,0,193
495598000008,"Mount Morris Township, Precinct 8",157,,,2,155
495598000009,"Mount Morris Township, Precinct 9",120,,,0,120
495598000010,"Mount Morris Township, Precinct 10",95,,,0,95
495616000001,"Mundy Township, Precinct 1",457,,,2,455
495616000002,"Mundy Township, Precinct 2",245,,,1,244
495616000003,"Mundy Township, Precinct 3",339,,,2,337
495616000004,"Mundy Township, Precinct 4",199,,,0,199
495616000005,"Mundy Township, Precinct 5",188,,,0,188
495616000006,"Mundy Township, Precinct 6",109,,,1,108
495616000007,"Mundy Township, Precinct 7",180,,,1,179
496818000001,"Richfield Township, Precinct 1",640,,,0,640
496818000002,"Richfield Township, Precinct 2",236,,,5,231
497770000001,"City of Swartz Creek, Precinct 1",33,,,0,33
497770000002,"City of Swartz Creek, Precinct 2",30,,,1,29
497770000003,"City of Swartz Creek, Precinct 3",15,,,0,15
497770000004,"City of Swartz Creek, Precinct 4",25,,,0,25
497946000001,"Thetford Township, Precinct 1",250,,,1,249
497946000003,"Thetford Township, Precinct 2",270,,,0,270
498238000001,"Vienna Township, Precinct 1",300,,,1,299
498238000002,"Vienna Township, Precinct 2",269,,,2,267
498238000003,"Vienna Township, Precinct 3",248,,,2,246
498238000004,"Vienna Township, Precinct 4",268,,,0,268
498238000005,"Vienna Township, Precinct 5",216,,,0,216
