id,name,total,over_votes,under_votes,Write-in,Kristen McDonald Rivet
490342000001,"Argentine Township, Precinct 1",23,,,1,22
490342000002,"Argentine Township, Precinct 2",33,,,0,33
490342000003,"Argentine Township, Precinct 3",9,,,0,9
490400000001,"Atlas Township, Precinct 1",31,,,0,31
490400000002,"Atlas Township, Precinct 2",23,,,0,23
490400000003,"Atlas Township, Precinct 3",43,,,0,43
491206000001,"City of Burton, Precinct 1",6,,,0,6
491206000002,"City of Burton, Precinct 2",16,,,0,16
491206000003,"City of Burton, Precinct 3",34,,,0,34
491206000004,"City of Burton, Precinct 4",25,,,0,25
491206000005,"City of Burton, Precinct 5",21,,,0,21
491206000006,"City of Burton, Precinct 6",12,,,0,12
491206000007,"City of Burton, Precinct 7",29,,,0,29
491626000001,"Clayton Township, Precinct 1",17,,,0,17
491626000002,"Clayton Township, Precinct 2",24,,,0,24
491626000003,"Clayton Township, Precinct 3",11,,,0,11
491626000004,"Clayton Township, Precinct 4",6,,,0,6
491662000001,"City of Clio, Precinct 1",23,,,0,23
491988000001,"City of Davison, Precinct 1",21,,,0,21
491988000002,"City of Davison, Precinct 2",18,,,0,18
491990000001,"Davison Township, Precinct 1",29,,,0,29
491990000002,"Davison Township, Precinct 2",24,,,1,23
491990000003,"Davison Township, Precinct 3",13,,,0,13
491990000004,"Davison Township, Precinct 4",18,,,1,17
491990000005,"Davison Township, Precinct 5",23,,,0,23
491990000006,"Davison Township, Precinct 6",20,,,1,19
491990000007,"Davison Township, Precinct 7",18,,,0,18
491990000008,"Davison Township, Precinct 8",34,,,1,33
492776000001,"City of Fenton, Precinct 1",0,,,0,0
492776000002,"City of Fenton, Precinct 2",0,,,0,0
492776000003,"City of Fenton, Precinct 3",0,,,0,0
492778000001,"Fenton Township, Precinct 1",37,,,0,37
492778000002,"Fenton Township, Precinct 2",18,,,0,18
492778000003,"Fenton Township, Precinct 3",23,,,0,23
492778000004,"Fenton Township, Precinct 4",16,,,0,16
492778000005,"Fenton Township, Precinct 5",29,,,0,29
492778000006,"Fenton Township, Precinct 6",18,,,0,18
492900001001,"City of Flint, Precinct 1",23,,,0,23
492900001002,"City of Flint, Precinct 2",11,,,0,11
492900001003,"City of Flint, Precinct 3",2,,,0,2
492900002004,"City of Flint, Precinct 4",8,,,0,8
492900002005,"City of Flint, Precinct 5",22,,,0,22
492900002006,"City of Flint, Precinct 6",25,,,0,25
492900002007,"City of Flint, Precinct 7",10,,,0,10
492900003008,"City of Flint, Precinct 8",17,,,0,17
492900003009,"City of Flint, Precinct 9",7,,,0,7
492900003010,"City of Flint, Precinct 10",3,,,0,3
492900004011,"City of Flint, Precinct 11",8,,,0,8
492900004012,"City of Flint, Precinct 12",13,,,0,13
492900005013,"City of Flint, Precinct 13",1,,,0,1
492900005014,"City of Flint, Precinct 14",37,,,1,36
492900005015,"City of Flint, Precinct 15",42,,,0,42
492900006016,"City of Flint, Precinct 16",28,,,0,28
492900006017,"City of Flint, Precinct 17",12,,,0,12
492900006018,"City of Flint, Precinct 18",1,,,0,1
492900007019,"City of Flint, Precinct 19",7,,,0,7
492900007020,"City of Flint, Precinct 20",45,,,1,44
492900007021,"City of Flint, Precinct 21",38,,,0,38
492900008022,"City of Flint, Precinct 22",1,,,0,1
492900008023,"City of Flint, Precinct 23",40,,,0,40
492900008024,"City of Flint, Precinct 24",14,,,1,13
492900009025,"City of Flint, Precinct 25",1,,,0,1
492900009026,"City of Flint, Precinct 26",3,,,0,3
492900009027,"City of Flint, Precinct 27",0,,,0,0
492900009028,"City of Flint, Precinct 28",11,,,0,11
492900009029,"City of Flint, Precinct 29",7,,,0,7
492902000001,"Flint Township, Precinct 1",108,,,0,108
492902000002,"Flint Township, Precinct 2",61,,,0,61
492902000003,"Flint Township, Precinct 3",63,,,0,63
492902000004,"Flint Township, Precinct 4",19,,,0,19
492902000005,"Flint Township, Precinct 5",82,,,1,81
492902000006,"Flint Township, Precinct 6",13,,,0,13
492902000007,"Flint Township, Precinct 7",13,,,0,13
492902000008,"Flint Township, Precinct 8",31,,,0,31
492920000001,"City of Flushing, Precinct 1",17,,,0,17
492920000002,"City of Flushing, Precinct 2",34,,,0,34
492920000003,"City of Flushing, Precinct 3",12,,,0,12
492920000004,"City of Flushing, Precinct 4",29,,,0,29
492922000001,"Flushing Township, Precinct 1",19,,,0,19
492922000002,"Flushing Township, Precinct 2",19,,,0,19
492922000003,"Flushing Township, Precinct 3",27,,,0,27
492922000004,"Flushing Township, Precinct 4",18,,,0,18
492942000001,"Forest Township, Precinct 1",40,,,0,40
493122000001,"Gaines Township, Precinct 1",28,,,1,27
493122000002,"Gaines Township, Precinct 2",16,,,0,16
493122000003,"Gaines Township, Precinct 3",21,,,0,21
493180000001,"Genesee Township, Precinct 1",6,,,0,6
493180000002,"Genesee Township, Precinct 2",4,,,0,4
493180000003,"Genesee Township, Precinct 3",14,,,0,14
493180000004,"Genesee Township, Precinct 4",9,,,0,9
493180000005,"Genesee Township, Precinct 5",25,,,0,25
493180000006,"Genesee Township, Precinct 6",14,,,0,14
493180000007,"Genesee Township, Precinct 7",7,,,0,7
493328000001,"City of Grand Blanc, Precinct 1",44,,,0,44
493328000002,"City of Grand Blanc, Precinct 2",31,,,0,31
493330000001,"Grand Blanc Township, Precinct 1",35,,,1,34
493330000002,"Grand Blanc Township, Precinct 2",7,,,0,7
493330000003,"Grand Blanc Township, Precinct 3",61,,,0,61
493330000004,"Grand Blanc Township, Precinct 4",40,,,1,39
493330000005,"Grand Blanc Township, Precinct 5",12,,,0,12
493330000006,"Grand Blanc Township, Precinct 6",45,,,0,45
493330000007,"Grand Blanc Township, Precinct 7",73,,,0,73
493330000008,"Grand Blanc Township, Precinct 8",53,,,0,53
493330000009,"Grand Blanc Township, Precinct 9",23,,,0,23
493330000010,"Grand Blanc Township, Precinct 10",25,,,0,25
494782000001,"City of Linden, Precinct 1",62,,,0,62
495528000001,"City of Montrose, Precinct 1",17,,,0,17
495530000001,"Montrose Township, Precinct 1",8,,,0,8
495530000002,"Montrose Township, Precinct 2",7,,,0,7
495530000003,"Montrose Township, Precinct 3",9,,,0,9
495530000004,"Montrose Township, Precinct 4",13,,,0,13
495596000001,"City of Mount Morris, Precinct 1",11,,,0,11
495598000001,"Mount Morris Township, Precinct 1",2,,,0,2
495598000002,"Mount Morris Township, Precinct 2",8,,,0,8
495598000003,"Mount Morris Township, Precinct 3",1,,,0,1
495598000004,"Mount Morris Township, Precinct 4",20,,,0,20
495598000005,"Mount Morris Township, Precinct 5",5,,,0,5
495598000006,"Mount Morris Township, Precinct 6",4,,,0,4
495598000007,"Mount Morris Township, Precinct 7",11,,,0,11
495598000008,"Mount Morris Township, Precinct 8",15,,,2,13
495598000009,"Mount Morris Township, Precinct 9",5,,,0,5
495598000010,"Mount Morris Township, Precinct 10",11,,,0,11
495616000001,"Mundy Township, Precinct 1",31,,,0,31
495616000002,"Mundy Township, Precinct 2",11,,,0,11
495616000003,"Mundy Township, Precinct 3",19,,,0,19
495616000004,"Mundy Township, Precinct 4",12,,,0,12
495616000005,"Mundy Township, Precinct 5",16,,,0,16
495616000006,"Mundy Township, Precinct 6",16,,,1,15
495616000007,"Mundy Township, Precinct 7",22,,,0,22
496818000001,"Richfield Township, Precinct 1",55,,,0,55
496818000002,"Richfield Township, Precinct 2",40,,,1,39
497770000001,"City of Swartz Creek, Precinct 1",33,,,0,33
497770000002,"City of Swartz Creek, Precinct 2",30,,,1,29
497770000003,"City of Swartz Creek, Precinct 3",15,,,0,15
497770000004,"City of Swartz Creek, Precinct 4",25,,,0,25
497946000001,"Thetford Township, Precinct 1",23,,,0,23
497946000003,"Thetford Township, Precinct 2",32,,,0,32
498238000001,"Vienna Township, Precinct 1",20,,,1,19
498238000002,"Vienna Township, Precinct 2",20,,,0,20
