id,name,total,over_votes,under_votes,Write-in,Kristen McDonald Rivet
490342000001,"Argentine Township, Precinct 1",128,,,0,128
490342000002,"Argentine Township, Precinct 2",86,,,0,86
490342000003,"Argentine Township, Precinct 3",27,,,0,27
490400000001,"Atlas Township, Precinct 1",148,,,2,146
490400000002,"Atlas Township, Precinct 2",81,,,0,81
490400000003,"Atlas Township, Precinct 3",109,,,0,109
491206000001,"City of Burton, Precinct 1",66,,,1,65
491206000002,"City of Burton, Precinct 2",233,,,4,229
491206000003,"City of Burton, Precinct 3",236,,,0,236
491206000004,"City of Burton, Precinct 4",301,,,3,298
491206000005,"City of Burton, Precinct 5",210,,,0,210
491206000006,"City of Burton, Precinct 6",158,,,0,158
491206000007,"City of Burton, Precinct 7",222,,,0,222
491626000001,"Clayton Township, Precinct 1",461,,,5,456
491626000002,"Clayton Township, Precinct 2",315,,,1,314
491626000003,"Clayton Township, Precinct 3",240,,,0,240
491626000004,"Clayton Township, Precinct 4",174,,,1,173
491662000001,"City of Clio, Precinct 1",294,,,0,294
491988000001,"City of Davison, Precinct 1",153,,,0,153
491988000002,"City of Davison, Precinct 2",167,,,2,165
491990000001,"Davison Township, Precinct 1",130,,,3,127
491990000002,"Davison Township, Precinct 2",116,,,1,115
491990000003,"Davison Township, Precinct 3",69,,,1,68
491990000004,"Davison Township, Precinct 4",100,,,0,100
491990000005,"Davison Township, Precinct 5",100,,,0,100
491990000006,"Davison Township, Precinct 6",163,,,2,161
491990000007,"Davison Township, Precinct 7",91,,,1,90
491990000008,"Davison Township, Precinct 8",186,,,1,185
492776000001,"City of Fenton, Precinct 1",122,,,1,121
492776000002,"City of Fenton, Precinct 2",271,,,2,269
492776000003,"City of Fenton, Precinct 3",240,,,2,238
492778000001,"Fenton Township, Precinct 1",147,,,1,146
492778000002,"Fenton Township, Precinct 2",139,,,1,138
492778000003,"Fenton Township, Precinct 3",142,,,0,142
492778000004,"Fenton Township, Precinct 4",92,,,1,91
492778000005,"Fenton Township, Precinct 5",127,,,0,127
492778000006,"Fenton Township, Precinct 6",142,,,2,140
492900001001,"City of Flint, Precinct 1",382,,,3,379
492900001002,"City of Flint, Precinct 2",337,,,3,334
492900001003,"City of Flint, Precinct 3",4,,,0,4
492900002004,"City of Flint, Precinct 4",102,,,0,102
