id,name,total,over_votes,under_votes,Write-in,Kristen McDonald Rivet
490342000001,"Argentine Township, Precinct 1",350,,,1,349
490342000002,"Argentine Township, Precinct 2",324,,,1,323
490342000003,"Argentine Township, Precinct 3",91,,,0,91
490400000001,"Atlas Township, Precinct 1",404,,,3,401
490400000002,"Atlas Township, Precinct 2",279,,,1,278
490400000003,"Atlas Township, Precinct 3",408,,,0,408
491206000001,"City of Burton, Precinct 1",176,,,1,175
491206000002,"City of Burton, Precinct 2",481,,,4,477
491206000003,"City of Burton, Precinct 3",587,,,0,587
491206000004,"City of Burton, Precinct 4",799,,,5,794
491206000005,"City of Burton, Precinct 5",614,,,0,614
491206000006,"City of Burton, Precinct 6",484,,,0,484
491206000007,"City of Burton, Precinct 7",591,,,1,590
491626000001,"Clayton Township, Precinct 1",478,,,5,473
491626000002,"Clayton Township, Precinct 2",339,,,1,338
491626000003,"Clayton Township, Precinct 3",251,,,0,251
491626000004,"Clayton Township, Precinct 4",180,,,1,179
491662000001,"City of Clio, Precinct 1",317,,,0,317
491988000001,"City of Davison, Precinct 1",368,,,2,366
491988000002,"City of Davison, Precinct 2",409,,,2,407
491990000001,"Davison Township, Precinct 1",395,,,4,391
491990000002,"Davison Township, Precinct 2",376,,,3,373
491990000003,"Davison Township, Precinct 3",246,,,1,245
491990000004,"Davison Township, Precinct 4",445,,,1,444
491990000005,"Davison Township, Precinct 5",251,,,0,251
491990000006,"Davison Township, Precinct 6",357,,,5,352
491990000007,"Davison Township, Precinct 7",232,,,1,231
491990000008,"Davison Township, Precinct 8",505,,,2,503
492776000001,"City of Fenton, Precinct 1",259,,,1,258
492776000002,"City of Fenton, Precinct 2",658,,,5,653
492776000003,"City of Fenton, Precinct 3",575,,,3,572
492778000001,"Fenton Township, Precinct 1",478,,,2,476
492778000002,"Fenton Township, Precinct 2",446,,,1,445
492778000003,"Fenton Township, Precinct 3",429,,,1,428
492778000004,"Fenton Township, Precinct 4",370,,,1,369
492778000005,"Fenton Township, Precinct 5",451,,,1,450
492778000006,"Fenton Township, Precinct 6",440,,,2,438
492900001001,"City of Flint, Precinct 1",835,,,3,832
492900001002,"City of Flint, Precinct 2",594,,,3,591
492900001003,"City of Flint, Precinct 3",17,,,0,17
492900002004,"City of Flint, Precinct 4",204,,,0,204
492900002005,"City of Flint, Precinct 5",564,,,3,561
492900002006,"City of Flint, Precinct 6",645,,,8,637
492900002007,"City of Flint, Precinct 7",200,,,2,198
492900003008,"City of Flint, Precinct 8",259,,,6,253
492900003009,"City of Flint, Precinct 9",266,,,3,263
492900003010,"City of Flint, Precinct 10",182,,,2,180
492900004011,"City of Flint, Precinct 11",278,,,0,278
492900004012,"City of Flint, Precinct 12",390,,,3,387
492900005013,"City of Flint, Precinct 13",7,,,0,7
492900005014,"City of Flint, Precinct 14",668,,,8,660
492900005015,"City of Flint, Precinct 15",481,,,3,478
492900006016,"City of Flint, Precinct 16",491,,,2,489
492900006017,"City of Flint, Precinct 17",335,,,2,333
492900006018,"City of Flint, Precinct 18",69,,,1,68
492900007019,"City of Flint, Precinct 19",252,,,4,248
492900007020,"City of Flint, Precinct 20",681,,,6,675
492900007021,"City of Flint, Precinct 21",936,,,7,929
492900008022,"City of Flint, Precinct 22",26,,,1,25
492900008023,"City of Flint, Precinct 23",744,,,3,741
492900008024,"City of Flint, Precinct 24",340,,,10,330
492900009025,"City of Flint, Precinct 25",53,,,0,53
492900009026,"City of Flint, Precinct 26",81,,,0,81
492900009027,"City of Flint, Precinct 27",3,,,0,3
492900009028,"City of Flint, Precinct 28",359,,,2,357
492900009029,"City of Flint, Precinct 29",324,,,2,322
492902000001,"Flint Township, Precinct 1",1189,,,2,1187
492902000002,"Flint Township, Precinct 2",676,,,4,672
492902000003,"Flint Township, Precinct 3",937,,,3,934
492902000004,"Flint Township, Precinct 4",245,,,0,245
492902000005,"Flint Township, Precinct 5",506,,,1,505
492902000006,"Flint Township, Precinct 6",205,,,2,203
492902000007,"Flint Township, Precinct 7",240,,,5,235
492902000008,"Flint Township, Precinct 8",794,,,4,790
492920000001,"City of Flushing, Precinct 1",427,,,0,427
492920000002,"City of Flushing, Precinct 2",427,,,3,424
492920000003,"City of Flushing, Precinct 3",331,,,2,329
492920000004,"City of Flushing, Precinct 4",376,,,0,376
492922000001,"Flushing Township, Precinct 1",396,,,3,393
492922000002,"Flushing Township, Precinct 2",296,,,0,296
492922000003,"Flushing Township, Precinct 3",513,,,1,512
492922000004,"Flushing Township, Precinct 4",413,,,2,411
492942000001,"Forest Township, Precinct 1",600,,,1,599
493122000001,"Gaines Township, Precinct 1",413,,,1,412
493122000002,"Gaines Township, Precinct 2",201,,,2,199
493122000003,"Gaines Township, Precinct 3",274,,,0,274
493180000001,"Genesee Township, Precinct 1",367,,,5,362
493180000002,"Genesee Township, Precinct 2",171,,,1,170
493180000003,"Genesee Township, Precinct 3",419,,,2,417
493180000004,"Genesee Township, Precinct 4",359,,,1,358
493180000005,"Genesee Township, Precinct 5",597,,,3,594
493180000006,"Genesee Township, Precinct 6",343,,,2,341
493180000007,"Genesee Township, Precinct 7",309,,,2,307
493328000001,"City of Grand Blanc, Precinct 1",723,,,3,720
493328000002,"City of Grand Blanc, Precinct 2",728,,,3,725
493330000001,"Grand Blanc Township, Precinct 1",736,,,4,732
493330000002,"Grand Blanc Township, Precinct 2",204,,,0,204
493330000003,"Grand Blanc Township, Precinct 3",806,,,4,802
493330000004,"Grand Blanc Township, Precinct 4",948,,,11,937
493330000005,"Grand Blanc Township, Precinct 5",344,,,1,343
493330000006,"Grand Blanc Township, Precinct 6",505,,,2,503
493330000007,"Grand Blanc Township, Precinct 7",880,,,4,876
493330000008,"Grand Blanc Township, Precinct 8",736,,,3,733
493330000009,"Grand Blanc Township, Precinct 9",564,,,2,562
493330000010,"Grand Blanc Township, Precinct 10",610,,,1,609
494782000001,"City of Linden, Precinct 1",590,,,2,588
495528000001,"City of Montrose, Precinct 1",175,,,0,175
495530000001,"Montrose Township, Precinct 1",138,,,0,138
495530000002,"Montrose Township, Precinct 2",127,,,0,127
495530000003,"Montrose Township, Precinct 3",165,,,2,163
495530000004,"Montrose Township, Precinct 4",178,,,1,177
495596000001,"City of Mount Morris, Precinct 1",306,,,0,306
495598000001,"Mount Morris Township, Precinct 1",122,,,1,121
495598000002,"Mount Morris Township, Precinct 2",243,,,0,243
495598000003,"Mount Morris Township, Precinct 3",191,,,2,189
495598000004,"Mount Morris Township, Precinct 4",385,,,0,385
495598000005,"Mount Morris Township, Precinct 5",241,,,1,240
495598000006,"Mount Morris Township, Precinct 6",183,,,1,182
495598000007,"Mount Morris Township, Precinct 7",370,,,1,369
495598000008,"Mount Morris Township, Precinct 8",316,,,3,313
495598000009,"Mount Morris Township, Precinct 9",211,,,2,209
495598000010,"Mount Morris Township, Precinct 10",178,,,0,178
495616000001,"Mundy Township, Precinct 1",607,,,4,603
495616000002,"Mundy Township, Precinct 2",371,,,2,369
495616000003,"Mundy Township, Precinct 3",518,,,2,516
495616000004,"Mundy Township, Precinct 4",296,,,0,296
495616000005,"Mundy Township, Precinct 5",265,,,1,264
495616000006,"Mundy Township, Precinct 6",175,,,1,174
495616000007,"Mundy Township, Precinct 7",253,,,1,252
