id,name,total,over_votes,under_votes,Write-in,Haley Stevens,Abdul El-Sayed,Mallory McMorrow
490342000001,"Argentine Township, Precinct 1",402,,,0,221,160,21
490342000002,"Argentine Township, Precinct 2",381,,,0,169,185,27
490342000003,"Argentine Township, Precinct 3",108,,,0,58,48,2
490400000001,"Atlas Township, Precinct 1",451,,,0,257,183,11
490400000002,"Atlas Township, Precinct 2",313,,,0,139,159,15
490400000003,"Atlas Township, Precinct 3",462,,,0,234,204,24
491206000001,"City of Burton, Precinct 1",190,,,1,113,66,10
491206000002,"City of Burton, Precinct 2",517,,,0,260,220,37
491206000003,"City of Burton, Precinct 3",637,,,0,369,241,27
491206000004,"City of Burton, Precinct 4",864,,,0,437,396,31
491206000005,"City of Burton, Precinct 5",661,,,0,375,236,50
491206000006,"City of Burton, Precinct 6",537,,,0,286,224,27
491206000007,"City of Burton, Precinct 7",645,,,0,327,294,24
491626000001,"Clayton Township, Precinct 1",534,,,0,273,232,29
491626000002,"Clayton Township, Precinct 2",393,,,0,212,166,15
491626000003,"Clayton Township, Precinct 3",289,,,0,147,123,19
491626000004,"Clayton Township, Precinct 4",206,,,0,122,78,6
491662000001,"City of Clio, Precinct 1",338,,,0,176,147,15
491988000001,"City of Davison, Precinct 1",415,,,0,202,194,19
491988000002,"City of Davison, Precinct 2",447,,,1,211,219,16
491990000001,"Davison Township, Precinct 1",432,,,1,220,196,15
491990000002,"Davison Township, Precinct 2",417,,,0,227,164,26
491990000003,"Davison Township, Precinct 3",270,,,0,159,95,16
491990000004,"Davison Township, Precinct 4",484,,,0,293,173,18
491990000005,"Davison Township, Precinct 5",275,,,0,110,149,16
491990000006,"Davison Township, Precinct 6",393,,,0,152,224,17
491990000007,"Davison Township, Precinct 7",258,,,1,121,129,7
491990000008,"Davison Township, Precinct 8",563,,,0,266,267,30
492776000001,"City of Fenton, Precinct 1",293,,,0,112,162,19
492776000002,"City of Fenton, Precinct 2",775,,,1,342,407,25
492776000003,"City of Fenton, Precinct 3",662,,,0,292,348,22
492778000001,"Fenton Township, Precinct 1",548,,,0,275,242,31
492778000002,"Fenton Township, Precinct 2",500,,,0,298,180,22
492778000003,"Fenton Township, Precinct 3",484,,,0,230,229,25
492778000004,"Fenton Township, Precinct 4",441,,,0,216,211,14
492778000005,"Fenton Township, Precinct 5",524,,,0,283,234,7
492778000006,"Fenton Township, Precinct 6",511,,,1,266,219,25
492900001001,"City of Flint, Precinct 1",883,,,0,667,164,52
492900001002,"City of Flint, Precinct 2",623,,,0,466,128,29
492900001003,"City of Flint, Precinct 3",18,,,0,14,2,2
492900002004,"City of Flint, Precinct 4",209,,,0,159,39,11
492900002005,"City of Flint, Precinct 5",597,,,1,431,137,28
492900002006,"City of Flint, Precinct 6",681,,,3,483,170,25
492900002007,"City of Flint, Precinct 7",216,,,0,150,55,11
492900003008,"City of Flint, Precinct 8",271,,,1,192,67,11
492900003009,"City of Flint, Precinct 9",297,,,0,213,62,22
492900003010,"City of Flint, Precinct 10",200,,,0,124,68,8
492900004011,"City of Flint, Precinct 11",293,,,0,161,124,8
492900004012,"City of Flint, Precinct 12",432,,,2,213,189,28
492900005013,"City of Flint, Precinct 13",8,,,0,2,4,2
492900005014,"City of Flint, Precinct 14",702,,,1,488,189,24
492900005015,"City of Flint, Precinct 15",549,,,0,217,306,26
492900006016,"City of Flint, Precinct 16",534,,,0,301,207,26
492900006017,"City of Flint, Precinct 17",357,,,1,192,153,11
492900006018,"City of Flint, Precinct 18",72,,,0,29,39,4
492900007019,"City of Flint, Precinct 19",265,,,1,179,72,13
492900007020,"City of Flint, Precinct 20",755,,,1,337,397,20
492900007021,"City of Flint, Precinct 21",999,,,1,545,407,46
492900008022,"City of Flint, Precinct 22",28,,,0,16,12,0
492900008023,"City of Flint, Precinct 23",801,,,0,468,311,22
492900008024,"City of Flint, Precinct 24",359,,,2,193,139,25
492900009025,"City of Flint, Precinct 25",61,,,0,14,47,0
492900009026,"City of Flint, Precinct 26",87,,,0,47,32,8
492900009027,"City of Flint, Precinct 27",4,,,0,1,3,0
492900009028,"City of Flint, Precinct 28",387,,,1,233,141,12
492900009029,"City of Flint, Precinct 29",344,,,0,184,145,15
492902000001,"Flint Township, Precinct 1",1309,,,2,770,495,42
492902000002,"Flint Township, Precinct 2",716,,,0,454,225,37
492902000003,"Flint Township, Precinct 3",1030,,,0,557,426,47
492902000004,"Flint Township, Precinct 4",264,,,0,113,140,11
492902000005,"Flint Township, Precinct 5",608,,,0,292,294,22
492902000006,"Flint Township, Precinct 6",215,,,0,118,82,15
492902000007,"Flint Township, Precinct 7",269,,,1,128,124,16
492902000008,"Flint Township, Precinct 8",851,,,0,429,385,37
492920000001,"City of Flushing, Precinct 1",474,,,0,256,208,10
492920000002,"City of Flushing, Precinct 2",472,,,0,203,253,16
492920000003,"City of Flushing, Precinct 3",396,,,0,160,215,21
492920000004,"City of Flushing, Precinct 4",431,,,0,206,216,9
492922000001,"Flushing Township, Precinct 1",435,,,0,217,195,23
492922000002,"Flushing Township, Precinct 2",328,,,0,154,144,30
492922000003,"Flushing Township, Precinct 3",581,,,0,324,242,15
492922000004,"Flushing Township, Precinct 4",449,,,0,238,196,15
492942000001,"Forest Township, Precinct 1",656,,,0,397,218,41
493122000001,"Gaines Township, Precinct 1",473,,,0,259,198,16
493122000002,"Gaines Township, Precinct 2",224,,,0,130,83,11
493122000003,"Gaines Township, Precinct 3",306,,,0,160,129,17
493180000001,"Genesee Township, Precinct 1",394,,,1,228,146,19
493180000002,"Genesee Township, Precinct 2",178,,,0,115,56,7
493180000003,"Genesee Township, Precinct 3",443,,,0,259,170,14
493180000004,"Genesee Township, Precinct 4",385,,,0,210,156,19
493180000005,"Genesee Township, Precinct 5",634,,,0,352,260,22
493180000006,"Genesee Township, Precinct 6",368,,,1,207,144,16
493180000007,"Genesee Township, Precinct 7",323,,,2,176,128,17
493328000001,"City of Grand Blanc, Precinct 1",819,,,0,333,435,51
493328000002,"City of Grand Blanc, Precinct 2",809,,,1,416,354,38
493330000001,"Grand Blanc Township, Precinct 1",807,,,0,405,374,28
493330000002,"Grand Blanc Township, Precinct 2",229,,,0,93,117,19
493330000003,"Grand Blanc Township, Precinct 3",893,,,0,431,424,38
493330000004,"Grand Blanc Township, Precinct 4",1052,,,1,521,485,45
493330000005,"Grand Blanc Township, Precinct 5",389,,,1,272,92,24
493330000006,"Grand Blanc Township, Precinct 6",601,,,0,251,320,30
493330000007,"Grand Blanc Township, Precinct 7",977,,,0,436,495,46
493330000008,"Grand Blanc Township, Precinct 8",815,,,1,371,410,33
493330000009,"Grand Blanc Township, Precinct 9",616,,,0,262,329,25
493330000010,"Grand Blanc Township, Precinct 10",664,,,0,364,279,21
494782000001,"City of Linden, Precinct 1",675,,,0,324,320,31
495528000001,"City of Montrose, Precinct 1",188,,,0,89,93,6
495530000001,"Montrose Township, Precinct 1",160,,,0,97,58,5
495530000002,"Montrose Township, Precinct 2",146,,,0,79,57,10
495530000003,"Montrose Township, Precinct 3",178,,,0,82,81,15
495530000004,"Montrose Township, Precinct 4",192,,,0,117,71,4
495596000001,"City of Mount Morris, Precinct 1",322,,,0,173,138,11
495598000001,"Mount Morris Township, Precinct 1",135,,,0,86,40,9
495598000002,"Mount Morris Township, Precinct 2",268,,,0,150,105,13
495598000003,"Mount Morris Township, Precinct 3",200,,,1,127,65,7
495598000004,"Mount Morris Township, Precinct 4",419,,,0,221,179,19
495598000005,"Mount Morris Township, Precinct 5",256,,,0,179,59,18
495598000006,"Mount Morris Township, Precinct 6",196,,,0,131,53,12
495598000007,"Mount Morris Township, Precinct 7",388,,,1,292,88,7
495598000008,"Mount Morris Township, Precinct 8",325,,,0,264,52,9
495598000009,"Mount Morris Township, Precinct 9",220,,,0,172,37,11
495598000010,"Mount Morris Township, Precinct 10",185,,,0,125,47,13
495616000001,"Mundy Township, Precinct 1",662,,,1,313,313,35
495616000002,"Mundy Township, Precinct 2",416,,,0,222,177,17
495616000003,"Mundy Township, Precinct 3",576,,,1,308,247,20
495616000004,"Mundy Township, Precinct 4",333,,,0,171,145,17
495616000005,"Mundy Township, Precinct 5",298,,,1,162,120,15
