id,name,Jocelyn Benson,Christopher Robert Swanson,Write-in
530796000001,"City of Bessemer, Precinct 1",208,38,0
534106000001,"City of Ironwood, Precinct 1",258,30,0
534106000002,"City of Ironwood, Precinct 2",279,27,0
538278000001,"City of Wakefield, Precinct 1",132,21,1
530798000001,"Bessemer Township, Precinct 1",92,12,0
532634000001,"Erwin Township, Precinct 1",41,11,0
534108000001,"Ironwood Charter Township, Precinct 1",280,39,0
535156000001,"Marenisco Township, Precinct 1",47,13,0
538280000001,"Wakefield Township, Precinct 1",33,3,0
538438000001,"Watersmeet Township, Precinct 1",152,15,0
