id,name,total,over_votes,under_votes,Write-in,Jocelyn Benson,Christopher Robert Swanson
550020000001,"Acme Township, Precinct 1",200,,,0,155,45
550020000002,"Acme Township, Precinct 2",124,,,0,99,25
550888000001,"Blair Township, Precinct 1",177,,,2,142,33
550888000002,"Blair Township, Precinct 2",96,,,1,65,30
550888000003,"Blair Township, Precinct 3",93,,,0,74,19
552380000001,"East Bay Township, Precinct 1",148,,,0,116,32
552380000004,"East Bay Township, Precinct 4",147,,,0,121,26
552380000005,"East Bay Township, Precinct 5",110,,,0,81,29
552380000006,"East Bay Township, Precinct 6",220,,,0,175,45
552802000001,"Fife Lake Township, Precinct 1",76,,,0,59,17
553158000001,"Garfield Township, Precinct 1",168,,,0,133,35
553158000002,"Garfield Township, Precinct 2",201,,,2,166,33
553158000003,"Garfield Township, Precinct 3",146,,,0,113,33
553158000004,"Garfield Township, Precinct 4",169,,,0,134,35
553158000005,"Garfield Township, Precinct 5",235,,,0,194,41
553158000006,"Garfield Township, Precinct 6",135,,,1,106,28
553158000007,"Garfield Township, Precinct 7",108,,,1,89,18
553424000001,"Grant Township, Precinct 1",122,,,0,101,21
553496000001,"Green Lake Township, Precinct 1",118,,,0,89,29
553496000002,"Green Lake Township, Precinct 2",131,,,0,103,28
553496000003,"Green Lake Township, Precinct 3",105,,,0,83,22
554924000001,"Long Lake Township, Precinct 1",312,,,0,249,63
554924000002,"Long Lake Township, Precinct 2",344,,,2,282,60
555248000001,"Mayfield Township, Precinct 1",143,,,0,111,32
556232000001,"Paradise Township, Precinct 1",265,,,0,222,43
556232000002,"Paradise Township, Precinct 2",200,,,1,172,27
556334000001,"Peninsula Township, Precinct 1",223,,,0,196,27
556334000002,"Peninsula Township, Precinct 2",234,,,1,191,42
558132000001,"Union Township, Precinct 1",62,,,0,52,10
558704000001,"Whitewater Township, Precinct 1",134,,,0,115,19
558034000001,"Traverse City, Precinct 1",263,,,0,220,43
558034000003,"Traverse City, Precinct 3",294,,,3,238,53
558034000007,"Traverse City, Precinct 7",260,,,0,205,55
558034000008,"Traverse City, Precinct 8",252,,,1,199,52
558034000009,"Traverse City, Precinct 9",219,,,0,180,39
558034000010,"Traverse City, Precinct 10",242,,,2,188,52
