id,name,total,over_votes,under_votes,Write-in,John James,Perry Johnson,Mike Cox,Aric Nesbitt
550020000001,"Acme Township, Precinct 1",146,,,0,82,44,19,1
550020000002,"Acme Township, Precinct 2",112,,,0,76,31,4,1
550888000001,"Blair Township, Precinct 1",173,,,0,75,75,23,0
550888000002,"Blair Township, Precinct 2",157,,,0,87,56,11,3
550888000003,"Blair Township, Precinct 3",115,,,0,64,35,16,0
552380000001,"East Bay Township, Precinct 1",90,,,0,57,28,4,1
552380000004,"East Bay Township, Precinct 4",102,,,0,70,26,3,3
552380000005,"East Bay Township, Precinct 5",114,,,0,69,34,9,2
552380000006,"East Bay Township, Precinct 6",221,,,0,114,76,26,5
552802000001,"Fife Lake Township, Precinct 1",151,,,1,70,53,22,5
553158000001,"Garfield Township, Precinct 1",156,,,0,90,48,17,1
553158000002,"Garfield Township, Precinct 2",124,,,0,86,29,9,0
553158000003,"Garfield Township, Precinct 3",50,,,0,26,21,3,0
553158000004,"Garfield Township, Precinct 4",66,,,0,38,24,4,0
553158000005,"Garfield Township, Precinct 5",146,,,0,93,46,7,0
553158000006,"Garfield Township, Precinct 6",98,,,1,63,32,1,1
553158000007,"Garfield Township, Precinct 7",64,,,0,27,26,9,2
553424000001,"Grant Township, Precinct 1",175,,,0,94,65,10,6
553496000001,"Green Lake Township, Precinct 1",165,,,0,76,67,19,3
553496000002,"Green Lake Township, Precinct 2",137,,,1,67,51,14,4
553496000003,"Green Lake Township, Precinct 3",85,,,0,38,40,7,0
554924000001,"Long Lake Township, Precinct 1",271,,,1,152,92,25,1
554924000002,"Long Lake Township, Precinct 2",291,,,1,155,109,21,5
555248000001,"Mayfield Township, Precinct 1",264,,,2,137,89,33,3
556232000001,"Paradise Township, Precinct 1",351,,,0,171,120,54,6
556232000002,"Paradise Township, Precinct 2",270,,,3,140,89,31,7
556334000001,"Peninsula Township, Precinct 1",178,,,0,98,63,13,4
556334000002,"Peninsula Township, Precinct 2",134,,,0,78,42,11,3
558132000001,"Union Township, Precinct 1",77,,,0,35,31,11,0
558704000001,"Whitewater Township, Precinct 1",200,,,0,110,77,13,0
558034000001,"Traverse City, Precinct 1",82,,,0,47,27,6,2
558034000003,"Traverse City, Precinct 3",49,,,0,23,21,4,1
558034000007,"Traverse City, Precinct 7",54,,,0,24,21,9,0
558034000008,"Traverse City, Precinct 8",55,,,0,38,13,3,1
558034000009,"Traverse City, Precinct 9",90,,,1,63,16,7,3
558034000010,"Traverse City, Precinct 10",77,,,0,40,32,4,1
