id,name,total,over_votes,under_votes,Write-in,Callie Barr,Kyle Blomquist,Wayne Stiles
550020000001,"Acme Township, Precinct 1",378,,,0,248,116,14
550020000002,"Acme Township, Precinct 2",225,,,0,142,67,16
550888000001,"Blair Township, Precinct 1",219,,,0,109,86,24
550888000002,"Blair Township, Precinct 2",233,,,0,147,78,8
550888000003,"Blair Township, Precinct 3",182,,,0,117,60,5
552380000001,"East Bay Township, Precinct 1",319,,,0,164,131,24
552380000004,"East Bay Township, Precinct 4",357,,,0,218,128,11
552380000005,"East Bay Township, Precinct 5",275,,,0,168,97,10
552380000006,"East Bay Township, Precinct 6",652,,,0,430,199,23
552802000001,"Fife Lake Township, Precinct 1",113,,,0,70,39,4
553158000001,"Garfield Township, Precinct 1",310,,,0,186,109,15
553158000002,"Garfield Township, Precinct 2",455,,,1,282,141,31
553158000003,"Garfield Township, Precinct 3",219,,,0,137,74,8
553158000004,"Garfield Township, Precinct 4",334,,,2,178,140,14
553158000005,"Garfield Township, Precinct 5",578,,,0,376,167,35
553158000006,"Garfield Township, Precinct 6",324,,,0,230,81,13
553158000007,"Garfield Township, Precinct 7",164,,,0,90,65,9
553424000001,"Grant Township, Precinct 1",20,,,0,13,6,1
553496000001,"Green Lake Township, Precinct 1",303,,,0,182,107,14
553496000002,"Green Lake Township, Precinct 2",217,,,0,121,84,12
553496000003,"Green Lake Township, Precinct 3",207,,,0,116,69,22
554924000001,"Long Lake Township, Precinct 1",636,,,0,420,194,22
554924000002,"Long Lake Township, Precinct 2",594,,,0,372,196,26
555248000001,"Mayfield Township, Precinct 1",7,,,0,2,5,0
556232000001,"Paradise Township, Precinct 1",21,,,0,15,5,1
556232000002,"Paradise Township, Precinct 2",19,,,0,3,14,2
556334000001,"Peninsula Township, Precinct 1",607,,,0,428,144,35
556334000002,"Peninsula Township, Precinct 2",648,,,0,488,138,22
558132000001,"Union Township, Precinct 1",3,,,0,2,1,0
558704000001,"Whitewater Township, Precinct 1",324,,,0,217,87,20
558034000001,"Traverse City, Precinct 1",511,,,0,314,188,9
558034000003,"Traverse City, Precinct 3",500,,,1,301,187,11
558034000007,"Traverse City, Precinct 7",367,,,0,192,156,19
558034000008,"Traverse City, Precinct 8",446,,,0,275,159,12
558034000009,"Traverse City, Precinct 9",429,,,1,255,165,8
558034000010,"Traverse City, Precinct 10",485,,,0,266,194,25
