id,name,total,over_votes,under_votes,Write-in,Callie Barr,Kyle Blomquist,Wayne Stiles
550020000001,"Acme Township, Precinct 1",571,,,1,355,194,21
550020000002,"Acme Township, Precinct 2",347,,,0,202,123,22
550888000001,"Blair Township, Precinct 1",397,,,0,180,186,31
550888000002,"Blair Township, Precinct 2",328,,,0,185,129,14
550888000003,"Blair Township, Precinct 3",274,,,0,155,113,6
552380000001,"East Bay Township, Precinct 1",468,,,1,213,224,30
552380000004,"East Bay Township, Precinct 4",507,,,0,298,192,17
552380000005,"East Bay Township, Precinct 5",381,,,1,204,163,13
552380000006,"East Bay Township, Precinct 6",869,,,0,531,309,29
552802000001,"Fife Lake Township, Precinct 1",187,,,0,108,69,10
553158000001,"Garfield Township, Precinct 1",476,,,0,266,194,16
553158000002,"Garfield Township, Precinct 2",656,,,2,360,258,36
553158000003,"Garfield Township, Precinct 3",365,,,1,195,158,11
553158000004,"Garfield Township, Precinct 4",501,,,2,246,236,17
553158000005,"Garfield Township, Precinct 5",815,,,1,494,274,46
553158000006,"Garfield Township, Precinct 6",459,,,0,283,158,18
553158000007,"Garfield Township, Precinct 7",273,,,1,133,126,13
553424000001,"Grant Township, Precinct 1",133,,,1,72,48,12
553496000001,"Green Lake Township, Precinct 1",421,,,0,234,167,20
553496000002,"Green Lake Township, Precinct 2",344,,,0,172,151,21
553496000003,"Green Lake Township, Precinct 3",311,,,0,153,133,25
554924000001,"Long Lake Township, Precinct 1",947,,,0,552,367,28
554924000002,"Long Lake Township, Precinct 2",934,,,0,525,367,42
555248000001,"Mayfield Township, Precinct 1",146,,,0,76,62,8
556232000001,"Paradise Township, Precinct 1",285,,,1,169,102,13
556232000002,"Paradise Township, Precinct 2",214,,,0,96,102,16
556334000001,"Peninsula Township, Precinct 1",827,,,0,562,221,44
556334000002,"Peninsula Township, Precinct 2",885,,,0,622,233,30
558132000001,"Union Township, Precinct 1",63,,,0,33,28,2
558704000001,"Whitewater Township, Precinct 1",457,,,0,297,133,27
558034000001,"Traverse City, Precinct 1",775,,,0,430,330,15
558034000003,"Traverse City, Precinct 3",803,,,1,411,371,20
558034000007,"Traverse City, Precinct 7",629,,,0,271,331,27
558034000008,"Traverse City, Precinct 8",703,,,1,367,317,18
558034000009,"Traverse City, Precinct 9",651,,,2,387,251,11
558034000010,"Traverse City, Precinct 10",726,,,1,359,339,27
