id,name,total,over_votes,under_votes,Write-in,Jack Bergman,Matthew DenOtter,Justin Michal
550020000001,"Acme Township, Precinct 1",361,,,0,272,57,32
550020000002,"Acme Township, Precinct 2",249,,,0,206,26,17
550888000001,"Blair Township, Precinct 1",328,,,0,224,55,49
550888000002,"Blair Township, Precinct 2",355,,,0,267,47,41
550888000003,"Blair Township, Precinct 3",242,,,0,186,30,26
552380000001,"East Bay Township, Precinct 1",330,,,0,272,30,28
552380000004,"East Bay Township, Precinct 4",318,,,0,247,48,23
552380000005,"East Bay Township, Precinct 5",324,,,2,252,44,26
552380000006,"East Bay Township, Precinct 6",660,,,2,480,103,75
552802000001,"Fife Lake Township, Precinct 1",322,,,1,259,33,29
553158000001,"Garfield Township, Precinct 1",376,,,0,309,41,26
553158000002,"Garfield Township, Precinct 2",366,,,0,262,66,38
553158000003,"Garfield Township, Precinct 3",150,,,0,111,25,14
553158000004,"Garfield Township, Precinct 4",205,,,0,160,33,12
553158000005,"Garfield Township, Precinct 5",423,,,0,341,36,46
553158000006,"Garfield Township, Precinct 6",281,,,1,217,46,17
553158000007,"Garfield Township, Precinct 7",114,,,0,76,25,13
553424000001,"Grant Township, Precinct 1",183,,,0,142,20,21
553496000001,"Green Lake Township, Precinct 1",352,,,0,258,48,46
553496000002,"Green Lake Township, Precinct 2",270,,,0,196,31,43
553496000003,"Green Lake Township, Precinct 3",213,,,1,148,24,40
554924000001,"Long Lake Township, Precinct 1",665,,,0,517,73,75
554924000002,"Long Lake Township, Precinct 2",614,,,1,458,85,70
555248000001,"Mayfield Township, Precinct 1",264,,,0,205,27,32
556232000001,"Paradise Township, Precinct 1",385,,,0,299,54,32
556232000002,"Paradise Township, Precinct 2",286,,,0,220,42,24
556334000001,"Peninsula Township, Precinct 1",582,,,3,467,60,52
556334000002,"Peninsula Township, Precinct 2",470,,,0,383,54,33
558132000001,"Union Township, Precinct 1",78,,,0,56,13,9
558704000001,"Whitewater Township, Precinct 1",491,,,0,371,59,61
558034000001,"Traverse City, Precinct 1",240,,,1,196,25,18
558034000003,"Traverse City, Precinct 3",149,,,0,112,23,14
558034000007,"Traverse City, Precinct 7",163,,,0,116,26,21
558034000008,"Traverse City, Precinct 8",155,,,0,111,23,21
558034000009,"Traverse City, Precinct 9",232,,,0,179,37,16
558034000010,"Traverse City, Precinct 10",215,,,0,150,41,24
