id,name,total,over_votes,under_votes,Write-in,Abdul El-Sayed,Haley Stevens,Mallory McMorrow
550020000001,"Acme Township, Precinct 1",362,,,0,180,170,12
550020000002,"Acme Township, Precinct 2",213,,,0,99,103,11
550888000001,"Blair Township, Precinct 1",193,,,0,86,99,8
550888000002,"Blair Township, Precinct 2",213,,,0,95,102,16
550888000003,"Blair Township, Precinct 3",165,,,0,61,94,10
552380000001,"East Bay Township, Precinct 1",302,,,0,151,139,12
552380000004,"East Bay Township, Precinct 4",317,,,0,183,118,16
552380000005,"East Bay Township, Precinct 5",229,,,0,117,91,21
552380000006,"East Bay Township, Precinct 6",590,,,0,307,260,23
552802000001,"Fife Lake Township, Precinct 1",88,,,0,38,45,5
553158000001,"Garfield Township, Precinct 1",284,,,0,138,122,24
553158000002,"Garfield Township, Precinct 2",443,,,1,199,216,27
553158000003,"Garfield Township, Precinct 3",195,,,0,98,86,11
553158000004,"Garfield Township, Precinct 4",296,,,1,136,136,23
553158000005,"Garfield Township, Precinct 5",546,,,0,250,261,35
553158000006,"Garfield Township, Precinct 6",304,,,0,126,151,27
553158000007,"Garfield Township, Precinct 7",148,,,0,76,58,14
553424000001,"Grant Township, Precinct 1",0,,,0,0,0,0
553496000001,"Green Lake Township, Precinct 1",266,,,0,137,118,11
553496000002,"Green Lake Township, Precinct 2",200,,,0,102,93,5
553496000003,"Green Lake Township, Precinct 3",193,,,0,82,99,12
554924000001,"Long Lake Township, Precinct 1",625,,,0,292,293,40
554924000002,"Long Lake Township, Precinct 2",574,,,0,264,272,38
555248000001,"Mayfield Township, Precinct 1",0,,,0,0,0,0
556232000001,"Paradise Township, Precinct 1",0,,,0,0,0,0
556232000002,"Paradise Township, Precinct 2",0,,,0,0,0,0
556334000001,"Peninsula Township, Precinct 1",596,,,0,282,292,22
556334000002,"Peninsula Township, Precinct 2",636,,,0,309,295,32
558132000001,"Union Township, Precinct 1",0,,,0,0,0,0
558704000001,"Whitewater Township, Precinct 1",315,,,0,131,170,14
558034000001,"Traverse City, Precinct 1",459,,,0,270,166,23
558034000003,"Traverse City, Precinct 3",461,,,0,275,165,21
558034000007,"Traverse City, Precinct 7",333,,,0,211,114,8
558034000008,"Traverse City, Precinct 8",413,,,0,268,125,20
558034000009,"Traverse City, Precinct 9",389,,,0,228,141,20
558034000010,"Traverse City, Precinct 10",442,,,0,250,170,22
